Title,Authors,Year,Citation_Count,Abstract,Keywords,Concepts,DOI
"AutoML: A Survey of the State-of-the-Art","Xin He, Kaiyong Zhao",2019,3800,"We survey automated machine learning techniques including neural architecture search and hyperparameter optimization.","AutoML,Neural Architecture Search,Hyperparameter,Machine Learning","ML Automation,Optimization",10.1016/j.knosys.2020.106622
"Data Augmentation Techniques in Deep Learning","Connor Shorten, Taghi M. Khoshgoftaar",2019,7500,"We review data augmentation techniques that improve the performance and generalizability of deep learning models.","Data Augmentation,Deep Learning,Training,Generalization","Computer Vision,ML",10.1186/s40537-019-0197-0
"Federated Learning: Challenges Methods and Future","Qiang Yang, Yang Liu, Tianjian Chen",2019,6800,"This paper presents a comprehensive survey of federated learning methods and open challenges.","Federated Learning,Privacy,Distributed ML,Data Privacy","Machine Learning,Privacy",10.1145/3298981
"Smart Contract Security Analysis","Loi Luu, Duc-Hiep Chu",2019,1600,"We analyze security vulnerabilities in Ethereum smart contracts and propose automated detection tools.","Smart Contracts,Ethereum,Security,Blockchain","Blockchain,Security",10.1145/2976749.2978309
"GPT-2: Language Models are Unsupervised Multitask Learners","Alec Radford, Jeffrey Wu, Rewon Child",2019,11000,"We demonstrate that language models begin to learn NLP tasks without explicit supervision.","GPT,Language Model,Unsupervised Learning,NLP","Generative AI,NLP",10.48550/arXiv.GPT2
"PointNet: Deep Learning on Point Sets","Charles R. Qi, Hao Su, Kaichun Mo",2019,9200,"We design a novel type of neural network that directly consumes point clouds for 3D understanding.","3D Vision,Point Cloud,Deep Learning,Computer Vision","3D Recognition,Neural Networks",10.1109/CVPR.2017.16
"Privacy-Preserving Deep Learning","Reza Shokri, Vitaly Shmatikov",2019,5100,"We present a practical system for privacy-preserving deep learning using differential privacy.","Differential Privacy,Deep Learning,Privacy,Data Protection","Privacy,ML Security",10.1145/2810103.2813687
"Exploring Data Science Pipelines","Sebastian Schelter, Stefan Grafberger",2019,1200,"We explore the challenges and best practices in building end-to-end data science pipelines.","Data Science,ML Pipeline,Feature Engineering,Model Deployment","Data Engineering,MLOps",10.1145/3299869.3314049
"GPT-3: Language Models are Few-Shot Learners","Tom Brown, Benjamin Mann, Nick Ryder",2020,28000,"We show that scaling up language models greatly improves task-agnostic few-shot performance.","GPT-3,Large Language Models,Few-Shot Learning,NLP","Generative AI,LLM",10.48550/arXiv.2005.14165
"Vision Transformer (ViT)","Alexey Dosovitskiy, Lucas Beyer",2020,22000,"We show that a pure transformer applied directly to sequences of image patches can perform very well on image classification.","Vision Transformer,ViT,Image Classification,Transformer","Computer Vision,Transformers",10.48550/arXiv.2010.11929
"DALL-E: Zero-Shot Text-to-Image Generation","Aditya Ramesh, Mikhail Pavlov",2020,5500,"We present DALL-E a transformer model that generates images from text descriptions.","DALL-E,Text-to-Image,Generative AI,Transformer","Image Generation,AI Art",10.48550/arXiv.2102.12092
"DeFi: Decentralized Finance","Werner Florian, Perez Daniel",2020,2400,"We provide a comprehensive overview of decentralized finance protocols built on blockchain technology.","DeFi,Blockchain,Finance,Smart Contracts","FinTech,Blockchain",10.1145/3472808
"Adversarial Machine Learning in Cybersecurity","Battista Biggio, Fabio Roli",2020,3800,"We survey adversarial attacks and defenses in the context of cybersecurity applications.","Adversarial ML,Cybersecurity,Robustness,Attack Detection","Security,ML",10.1016/j.patcog.2020.107474
"Graph Neural Networks: A Review","Jie Zhou, Ganqu Cui, Shengding Hu",2020,14000,"We provide a comprehensive overview of graph neural networks covering methods and applications.","Graph Neural Networks,GNN,Deep Learning,Graph Learning","Networks,ML",10.1016/j.aiopen.2021.01.001
"Transfer Learning for Medical Image Analysis","Hossein Hosseini, Barath Narayanan",2020,4600,"We review transfer learning approaches for medical image analysis and diagnostics.","Transfer Learning,Medical Imaging,Deep Learning,Healthcare AI","Computer Vision,Healthcare",10.1016/j.media.2020.101894
"Explainable AI: A Brief Survey","Alejandro Barredo Arrieta, Natalia Diaz-Rodriguez",2020,9200,"We survey methods and frameworks for making AI systems more transparent and interpretable.","Explainable AI,XAI,Interpretability,Transparency","AI Ethics,ML",10.1016/j.inffus.2019.12.012
"Reinforcement Learning for Autonomous Driving","Beren Millidge, Alexander Tschantz",2020,3100,"We survey reinforcement learning approaches for autonomous vehicle navigation and control.","Reinforcement Learning,Autonomous Driving,Self-Driving,Control","Robotics,AI",10.1109/TITS.2020.2987234
"Data Lake Architecture for Big Data Analytics","Franck Ravat, Yan Zhao",2020,1800,"We propose a comprehensive data lake architecture for heterogeneous big data management.","Data Lake,Big Data,Data Architecture,ETL","Data Engineering,Analytics",10.1016/j.is.2020.101485
"NFT and Digital Ownership on Blockchain","Qin Wang, Rujia Li",2020,1500,"We analyze non-fungible tokens and their implications for digital ownership and creative economies.","NFT,Blockchain,Digital Assets,Tokenization","Blockchain,Digital Economy",10.1145/3474355
"Contrastive Learning for Visual Representations","Ting Chen, Simon Kornblith",2020,16000,"We present SimCLR a simple framework for contrastive learning of visual representations.","Contrastive Learning,Self-Supervised,SimCLR,Representation Learning","Computer Vision,Unsupervised Learning",10.48550/arXiv.2002.05709
"Cybersecurity Risk Assessment Using ML","Sagar Samtani, Ryan Zhu",2020,1400,"We propose a machine learning framework for automated cybersecurity risk assessment.","Risk Assessment,Cybersecurity,Machine Learning,Threat Analysis","Security,Data Science",10.1109/TIFS.2020.2970138
"Automated Feature Engineering","James Max Kanter, Kalyan Veeramachaneni",2020,2200,"We present methods for automated feature engineering in predictive modeling pipelines.","Feature Engineering,AutoML,Predictive Modeling,Data Science","ML Automation,Data Science",10.1109/DSAA.2020.00019
"Zero-Knowledge Proofs on Blockchain","Eli Ben-Sasson, Alessandro Chiesa",2020,1900,"We review zero-knowledge proof systems and their applications in blockchain privacy.","Zero-Knowledge Proofs,Blockchain,Privacy,Cryptography","Blockchain,Cryptography",10.1145/3372297.3417242
"CLIP: Connecting Text and Images","Alec Radford, Jong Wook Kim, Chris Hallacy",2021,18000,"We present CLIP which learns visual concepts from natural language supervision.","CLIP,Multimodal,Vision-Language,Zero-Shot","Computer Vision,NLP",10.48550/arXiv.2103.00020
"Codex: Evaluating Large Language Models Trained on Code","Mark Chen, Jerry Tworek",2021,5500,"We evaluate Codex a GPT language model fine-tuned on publicly available code from GitHub.","Codex,Code Generation,LLM,Programming","AI Coding,LLM",10.48550/arXiv.2107.03374
"Diffusion Models Beat GANs on Image Synthesis","Prafulla Dhariwal, Alex Nichol",2021,8900,"We show that diffusion models can achieve image sample quality superior to GANs.","Diffusion Models,Image Generation,Generative AI,Deep Learning","Generative AI,Computer Vision",10.48550/arXiv.2105.05233
"Swin Transformer: Hierarchical Vision Transformer","Ze Liu, Yutong Lin, Yue Cao",2021,14000,"We present Swin Transformer that produces a hierarchical feature representation for vision tasks.","Swin Transformer,Vision Transformer,Object Detection,Segmentation","Computer Vision,Transformers",10.48550/arXiv.2103.14030
"Federated Learning for IoT Security","Yuwei Sun, Hideya Ochiai",2021,2800,"We propose a federated learning framework for intrusion detection in IoT networks.","Federated Learning,IoT Security,Intrusion Detection,Privacy","Cybersecurity,IoT",10.1109/JIOT.2021.3075046
"Ethereum 2.0: Proof of Stake Analysis","Stefanos Leonardos, Daniel Reijsbergen",2021,1200,"We analyze the economic and security implications of Ethereum transition to proof of stake.","Ethereum,Proof of Stake,Blockchain,Consensus","Blockchain,Economics",10.1145/3474236.3474260
"MLOps: Machine Learning Operations","Dominik Kreuzberger, Niklas Kuhl",2021,3600,"We define and structure the emerging field of MLOps for production machine learning systems.","MLOps,Machine Learning,DevOps,Model Deployment","Data Science,Engineering",10.1109/ACCESS.2021.3128037
"Deepfake Detection Using Deep Learning","Ruben Tolosana, Ruben Vera-Rodriguez",2021,4100,"We survey deep learning methods for detecting manipulated media including deepfakes.","Deepfake Detection,Deep Learning,Media Forensics,Computer Vision","Security,Computer Vision",10.1016/j.cviu.2021.103372
"Quantum Machine Learning: A Survey","Maria Schuld, Francesco Petruccione",2021,2900,"We survey the intersection of quantum computing and machine learning algorithms.","Quantum ML,Quantum Computing,Machine Learning,Quantum Algorithms","Quantum,ML",10.1038/s43586-021-00028-5
"Causal Inference in Data Science","Brady Neal, Jonas Peters",2021,2100,"We review causal inference methods and their growing importance in data science applications.","Causal Inference,Data Science,Statistics,Counterfactual","Data Science,Statistics",10.1145/3444944
"Cross-Chain Interoperability Protocols","Rafael Belchior, Andre Vasconcelos",2021,1700,"We survey cross-chain communication protocols enabling blockchain interoperability.","Cross-Chain,Interoperability,Blockchain,Bridge Protocol","Blockchain,Distributed Systems",10.1145/3471140
"Self-Supervised Learning in Computer Vision","Longlong Jing, Yingli Tian",2021,7800,"We survey self-supervised visual representation learning methods and their downstream applications.","Self-Supervised Learning,Computer Vision,Representation Learning,Pretext Tasks","Computer Vision,Unsupervised",10.1109/TPAMI.2020.2992393
"AI-Powered Network Intrusion Detection","Zhuo Chen, Liu Yang",2021,2300,"We propose a hybrid AI model combining CNN and LSTM for real-time network intrusion detection.","Intrusion Detection,Deep Learning,Network Security,CNN-LSTM","Cybersecurity,AI",10.1016/j.cose.2021.102283
"Real-Time Data Stream Processing","Paris Carbone, Asterios Katsifodimos",2021,1500,"We review frameworks and architectures for processing real-time data streams at scale.","Stream Processing,Real-Time,Apache Flink,Big Data","Data Engineering,Analytics",10.1109/TKDE.2021.3064148
"DAO: Decentralized Autonomous Organizations","Aaron Wright, Primavera De Filippi",2021,1100,"We analyze the governance structures and legal implications of decentralized autonomous organizations.","DAO,Blockchain,Governance,Decentralization","Blockchain,Organizations",10.1145/3474227
"ChatGPT and Large Language Models","OpenAI Team, Tom Brown",2022,35000,"Technical report on ChatGPT a large language model trained using RLHF for conversational AI.","ChatGPT,LLM,RLHF,Conversational AI","Generative AI,NLP",10.48550/arXiv.2203.02155
"Stable Diffusion for Text-to-Image","Robin Rombach, Andreas Blattmann",2022,12000,"We present latent diffusion models for high-resolution image synthesis from text prompts.","Stable Diffusion,Text-to-Image,Latent Diffusion,Generative AI","Image Generation,AI Art",10.48550/arXiv.2112.10752
"PaLM: Scaling Language Modeling with Pathways","Aakanksha Chowdhery, Sharan Narang",2022,8500,"We present PaLM a 540 billion parameter language model achieving breakthrough performance.","PaLM,Large Language Models,Scaling,Few-Shot","LLM,NLP",10.48550/arXiv.2204.02311
"Segment Anything Model (SAM)","Alexander Kirillov, Eric Mintun",2022,9800,"We introduce SAM a promptable segmentation model trained on 1 billion masks.","SAM,Image Segmentation,Foundation Model,Computer Vision","Segmentation,AI",10.48550/arXiv.2304.02643
"AlphaFold Protein Structure Prediction","John Jumper, Richard Evans",2022,18000,"AlphaFold predicts protein 3D structures with atomic accuracy using deep learning.","AlphaFold,Protein Folding,Bioinformatics,Deep Learning","Biology,AI",10.1038/s41586-021-03819-2
"Ransomware Detection Using AI","Subash Poudyal, Ki-Woong Choo",2022,1800,"We propose an AI-based framework for early ransomware detection and prevention.","Ransomware,AI Detection,Cybersecurity,Malware Analysis","Security,ML",10.1016/j.cose.2022.102821
"Web3 and Decentralized Internet","Shermin Voshmgir, Michael Zargham",2022,1300,"We explore Web3 technologies and their potential to reshape the internet architecture.","Web3,Blockchain,Decentralization,dApps","Blockchain,Internet",10.1109/MC.2022.3160947
"Responsible AI: Ethics and Fairness","Timnit Gebru, Margaret Mitchell",2022,5600,"We examine ethical considerations and fairness in AI system design and deployment.","AI Ethics,Fairness,Bias,Responsible AI","AI Governance,Ethics",10.1145/3457607
"Time Series Forecasting with Transformers","Haoyi Zhou, Shanghang Zhang",2022,4300,"We present a transformer-based model for long-sequence time series forecasting.","Time Series,Transformer,Forecasting,Deep Learning","Data Science,Prediction",10.48550/arXiv.2012.07436
"Prompt Engineering for Large Language Models","Jules White, Quchen Fu",2022,3900,"We survey prompt engineering techniques for optimizing large language model outputs.","Prompt Engineering,LLM,In-Context Learning,AI","NLP,AI Applications",10.48550/arXiv.2302.11382
"Privacy Attacks on Machine Learning Models","Nicholas Carlini, Chang Liu",2022,2700,"We survey inference attacks that compromise privacy in machine learning models.","Privacy Attacks,ML Security,Membership Inference,Model Inversion","Security,ML Privacy",10.1145/3523273
"DataOps: Automated Data Pipeline Management","Andy Palmer, Sean Anderson",2022,1100,"We present DataOps principles for automated reliable data pipeline management.","DataOps,Data Pipeline,Automation,Data Quality","Data Science,MLOps",10.1109/BigData55660.2022.10018365
"Layer 2 Scaling Solutions for Blockchain","Lewis Gudgeon, Pedro Moreno-Sanchez",2022,1400,"We analyze Layer 2 scaling solutions including rollups and state channels for blockchain.","Layer 2,Scaling,Rollups,Blockchain","Blockchain,Scalability",10.1145/3558535
"Neuro-Symbolic AI: Combining Neural and Symbolic","Artur Garcez, Luis Lamb",2022,3200,"We review neuro-symbolic AI approaches that combine neural networks with symbolic reasoning.","Neuro-Symbolic,Hybrid AI,Knowledge Representation,Reasoning","AI,Knowledge",10.48550/arXiv.2205.00813
"Zero-Day Vulnerability Detection with AI","Jiongyi Chen, Wenrui Diao",2022,1600,"We propose deep learning methods for detecting zero-day vulnerabilities in software.","Zero-Day,Vulnerability Detection,AI Security,Software Security","Cybersecurity,AI",10.1109/TSE.2022.3156857
"GPT-4 Technical Report","OpenAI Research Team",2023,25000,"We report the development of GPT-4 a large-scale multimodal model achieving human-level performance.","GPT-4,Multimodal,LLM,AI Safety","Generative AI,LLM",10.48550/arXiv.2303.08774
"LLaMA: Open and Efficient Foundation Models","Hugo Touvron, Thibaut Lavril",2023,15000,"We introduce LLaMA a collection of open foundation language models ranging from 7B to 65B parameters.","LLaMA,Open Source LLM,Foundation Models,NLP","LLM,Open Source",10.48550/arXiv.2302.13971
"Retrieval-Augmented Generation (RAG)","Patrick Lewis, Ethan Perez",2023,8200,"We present RAG a method that combines retrieval mechanisms with language generation.","RAG,Retrieval Augmented,LLM,Knowledge Base","NLP,Information Retrieval",10.48550/arXiv.2005.11401
"Constitutional AI: Harmlessness from AI Feedback","Yuntao Bai, Saurav Kadavath",2023,4500,"We present Constitutional AI a method for training AI assistants to be helpful harmless and honest.","Constitutional AI,RLHF,AI Alignment,Safety","AI Safety,Ethics",10.48550/arXiv.2212.08073
"DINOv2: Learning Robust Visual Features","Maxime Oquab, Timothee Darcet",2023,5200,"We present DINOv2 a self-supervised method producing universal visual features.","DINOv2,Self-Supervised,Visual Features,Foundation Model","Computer Vision,SSL",10.48550/arXiv.2304.07193
"AI for Drug Discovery: Recent Advances","Bharath Ramsundar, Peter Eastman",2023,3800,"We survey AI methods accelerating drug discovery from target identification to clinical trials.","Drug Discovery,AI,Molecular Design,Bioinformatics","Healthcare AI,Chemistry",10.1038/s41573-023-00758-5
"Adversarial Robustness in LLMs","Andy Zou, Zifan Wang",2023,2100,"We study adversarial attacks on large language models and propose defense mechanisms.","Adversarial Attacks,LLM Security,Jailbreaking,AI Safety","Cybersecurity,LLM",10.48550/arXiv.2307.15043
"Blockchain for Supply Chain Management","Feng Tian, Sara Saberi",2023,1800,"We review blockchain applications in supply chain transparency and traceability.","Supply Chain,Blockchain,Traceability,IoT","Blockchain,Logistics",10.1016/j.tre.2023.103124
"Foundation Models: Opportunities and Risks","Rishi Bommasani, Drew A. Hudson",2023,9500,"We survey the landscape of foundation models examining their capabilities and societal implications.","Foundation Models,LLM,AI Risk,Generalization","AI,ML",10.48550/arXiv.2108.07258
"Synthetic Data Generation for ML","Zinan Lin, Alankar Jain",2023,2600,"We survey methods for generating synthetic data to train machine learning models.","Synthetic Data,Data Generation,Privacy,Augmentation","Data Science,ML",10.48550/arXiv.2302.04062
"Real-Time Object Detection: YOLOv8","Glenn Jocher, Ayush Chaurasia",2023,4800,"We present YOLOv8 the latest evolution in real-time object detection with improved accuracy.","YOLOv8,Object Detection,Real-Time,Computer Vision","Object Detection,AI",10.48550/arXiv.2305.09972
"LLM-Based Cybersecurity Threat Intelligence","Yaniv Markovski, Sofia Crespo",2023,1400,"We leverage large language models for automated cybersecurity threat intelligence extraction.","LLM,Threat Intelligence,Cybersecurity,NLP","Security,AI",10.1109/SP.2023.00178
"Responsible Data Science Practices","Solon Barocas, Moritz Hardt",2023,1900,"We outline responsible data science practices including fairness accountability and transparency.","Responsible AI,Data Science,Fairness,Accountability","Ethics,Data Science",10.1145/3593013.3594047
"Tokenomics and Cryptocurrency Economics","Yukun Liu, Aleh Tsyvinski",2023,900,"We analyze tokenomic models and their impact on cryptocurrency ecosystem sustainability.","Tokenomics,Cryptocurrency,Economics,DeFi","Blockchain,Finance",10.1093/rfs/hhad030
"LoRA: Low-Rank Adaptation of LLMs","Edward J. Hu, Yelong Shen",2023,12000,"We propose LoRA a method for efficient fine-tuning of large language models using low-rank adaptation.","LoRA,Fine-Tuning,LLM,Parameter Efficient","NLP,Efficiency",10.48550/arXiv.2106.09685
"3D Gaussian Splatting for Real-Time Rendering","Bernhard Kerbl, Georgios Kopanas",2023,4500,"We present 3D Gaussian Splatting for real-time radiance field rendering.","3D Gaussian,Rendering,NeRF,Computer Vision","3D Vision,Graphics",10.1145/3592433
"Automated Penetration Testing with AI","Simone Aonzo, Gabriele Costa",2023,800,"We propose AI-driven automated penetration testing methodologies for enterprise security.","Penetration Testing,AI,Cybersecurity,Vulnerability","Security,Automation",10.1145/3597926.3598135
"Data Mesh Architecture","Zhamak Dehghani, Mark Richards",2023,1500,"We present data mesh as a decentralized sociotechnical approach to data management.","Data Mesh,Data Architecture,Decentralized,Domain-Driven","Data Engineering,Architecture",10.1109/MS.2023.3241198
"Solana and High-Performance Blockchains","Anatoly Yakovenko, Greg Fitzgerald",2023,700,"We analyze high-performance blockchain architectures with focus on Solana ecosystem.","Solana,High Performance,Blockchain,Proof of History","Blockchain,Performance",10.1145/3570361.3592512
"Gemini: A Family of Highly Capable Multimodal Models","Google DeepMind Team",2023,8000,"We present Gemini a family of multimodal models demonstrating strong performance across benchmarks.","Gemini,Multimodal,LLM,Vision-Language","AI,Foundation Models",10.48550/arXiv.2312.11805
"Mixture of Experts in Language Models","William Fedus, Barret Zoph",2023,5600,"We present Switch Transformer using mixture of experts for efficient language model scaling.","Mixture of Experts,MoE,Scaling,Transformer","LLM,Efficiency",10.48550/arXiv.2101.03961
"Phishing Detection Using Transformer Models","Alsharif Abuadbba, Hyoungshick Kim",2023,1100,"We apply transformer models for advanced phishing URL and email detection.","Phishing Detection,Transformer,Cybersecurity,Classification","Security,NLP",10.1016/j.cose.2023.103278
"Feature Store Architecture for ML","Willem Pienaar, Mike Del Balso",2023,1300,"We present feature store patterns for managing and serving ML features at scale.","Feature Store,MLOps,Data Engineering,ML Infrastructure","Data Science,Engineering",10.1145/3555041.3589701
"Claude: Constitutional AI in Practice","Anthropic Research Team",2024,6200,"Analysis of Claude model family built using Constitutional AI principles for safer interactions.","Claude,Constitutional AI,Safety,Alignment","LLM,AI Safety",10.48550/arXiv.2401.Claude
"Llama 3: Open Foundation Model","Meta AI Team",2024,9500,"We present Llama 3 an open foundation model with improved reasoning and multilingual capabilities.","Llama 3,Open Source,Foundation Model,Multilingual","LLM,Open AI",10.48550/arXiv.2407.Llama3
"Sora: Video Generation Model","OpenAI Video Team",2024,7800,"We present Sora a text-to-video diffusion model capable of generating realistic minute-long videos.","Sora,Video Generation,Diffusion,Text-to-Video","Generative AI,Video",10.48550/arXiv.2402.Sora
"Devin: AI Software Engineer","Cognition Labs Team",2024,3200,"We present Devin an autonomous AI agent capable of end-to-end software engineering tasks.","Devin,AI Agent,Software Engineering,Autonomous Coding","AI Agents,Coding",10.48550/arXiv.2403.Devin
"Mamba: Linear-Time Sequence Modeling","Albert Gu, Tri Dao",2024,6500,"We introduce Mamba a selective state space model achieving linear-time sequence modeling.","Mamba,State Space Model,SSM,Efficient Transformers","Sequence Modeling,Efficiency",10.48550/arXiv.2312.00752
"AI-Generated Content Detection","Luisa Verdoliva, Xiaoyu Li",2024,2400,"We survey methods for detecting AI-generated text images and videos.","AI Detection,Deepfake,Watermarking,Content Authenticity","Security,AI Ethics",10.1109/TPAMI.2024.3356543
"Agentic AI: Autonomous AI Systems","Shunyu Yao, Jeffrey Zhao",2024,4100,"We survey the emerging field of agentic AI systems that autonomously plan and execute tasks.","AI Agents,Autonomous AI,Planning,Tool Use","AI,Automation",10.48550/arXiv.2402.Agent
"Quantum-Resistant Blockchain Cryptography","Marcos Allende, Diego Lopez",2024,900,"We propose quantum-resistant cryptographic schemes for securing blockchain systems.","Post-Quantum,Blockchain,Cryptography,Quantum Resistant","Blockchain,Security",10.1145/3605098.3636009
"Graph RAG: Knowledge-Enhanced Generation","Microsoft Research Team",2024,3500,"We present GraphRAG combining knowledge graphs with retrieval-augmented generation.","GraphRAG,Knowledge Graph,LLM,Information Retrieval","NLP,Knowledge",10.48550/arXiv.2404.GraphRAG
"Multimodal Learning with Vision-Language Models","Jean-Baptiste Alayrac, Jeff Donahue",2024,5200,"We survey recent advances in vision-language models for multimodal understanding.","Vision-Language,Multimodal,CLIP,Foundation Models","Computer Vision,NLP",10.48550/arXiv.2401.VLM
"AI-Powered SOC: Security Operations Center","Sagar Samtani, Benjamin Edwards",2024,1200,"We present AI-driven security operations center automation for enterprise threat management.","SOC Automation,AI Security,Threat Management,SIEM","Cybersecurity,AI",10.1109/SP.2024.00198
"Scalable Data Pipelines with Lakehouse","Michael Armbrust, Ali Ghodsi",2024,1800,"We present lakehouse architecture combining data lake and warehouse for unified analytics.","Lakehouse,Data Pipeline,Analytics,Unified Architecture","Data Engineering,Cloud",10.1145/3626246.3653397
"DePIN: Decentralized Physical Infrastructure","Multicoin Capital Research",2024,600,"We analyze decentralized physical infrastructure networks combining crypto incentives with real-world assets.","DePIN,Infrastructure,Blockchain,Tokenization","Blockchain,IoT",10.48550/arXiv.2404.DePIN
"Mixture of Depths: Dynamic Computation","David Raposo, Sam Ritter",2024,2800,"We propose Mixture of Depths allowing transformers to dynamically allocate computation.","Dynamic Computation,Efficient AI,Transformer,Adaptive","Efficiency,ML",10.48550/arXiv.2404.MoD
"Medical Image Analysis with Foundation Models","Jun Ma, Bo Wang",2024,3600,"We survey foundation models for medical image analysis across modalities.","Medical Imaging,Foundation Models,Healthcare AI,Segmentation","Healthcare,Computer Vision",10.1016/j.media.2024.103152
"Autonomous Threat Hunting with LLMs","Elisa Bertino, Rui Zhang",2024,800,"We leverage LLMs for autonomous threat hunting and incident response in enterprise networks.","Threat Hunting,LLM,Cybersecurity,Incident Response","Security,AI",10.1145/3634737.3634749
"Vector Databases for AI Applications","James Briggs, Roie Schwaber-Cohen",2024,2200,"We survey vector database technologies powering similarity search in AI applications.","Vector Database,Embeddings,Similarity Search,RAG","Data Science,Infrastructure",10.1145/3626246.3653401
"Account Abstraction in Ethereum","Vitalik Buterin, Yoav Weiss",2024,500,"We analyze account abstraction proposals improving user experience on Ethereum.","Account Abstraction,Ethereum,UX,Smart Wallets","Blockchain,UX",10.48550/arXiv.2404.ERC4337
"KAN: Kolmogorov-Arnold Networks","Ziming Liu, Yixuan Wang",2024,4200,"We propose Kolmogorov-Arnold Networks as promising alternatives to multi-layer perceptrons.","KAN,Neural Networks,Activation Functions,Mathematical AI","ML,Mathematics",10.48550/arXiv.2404.19756
"Efficient Fine-Tuning: QLoRA and Beyond","Tim Dettmers, Artidoro Pagnoni",2024,5800,"We present QLoRA enabling fine-tuning of 65B parameter models on a single GPU.","QLoRA,Quantization,Fine-Tuning,Efficient LLM","NLP,Efficiency",10.48550/arXiv.2305.14314
"AI Cyber Defense: NIST Framework Integration","NIST AI Team, Elham Tabassi",2024,700,"We present guidelines for integrating AI into cybersecurity defense aligned with NIST frameworks.","NIST,AI Defense,Cybersecurity Framework,Compliance","Security,Governance",10.6028/NIST.AI.600-1
