project_title,project_number,organization,principal_investigator,fiscal_year,award_amount
Mechanisms of Inflammasome Defense against Cytosol-invasive Bacteria,,UNIV OF ARKANSAS FOR MED SCIS,Youssef  Aachoui,2019,108000.0
Study of the Cell-specific Inflammasome Responses During Defense Against Gram-negative Bacteria,,UNIV OF ARKANSAS FOR MED SCIS,Youssef  Aachoui,2021,323049.0
Study of the Cell-specific Inflammasome Responses During Defense Against Gram-negative Bacteria,,UNIV OF ARKANSAS FOR MED SCIS,Youssef  Aachoui,2020,250791.0
DDT-IST-000014: Progressing towards the Qualification Plan of AI-COA™ for Automated Depression and Anxiety Severity Measurement,,"DELIBERATE SOLUTIONS, INC.",Marc  Aafjes,2024,249366.0
Evolution of Abalone Egg Coat Proteins,,UNIVERSITY OF WASHINGTON,Jan E Aagaard,2007,49646.0
ABALONE EGG COAT PROTEINS,,UNIVERSITY OF WASHINGTON,Jan E Aagaard,2006,5990.0
ABALONE EGG COAT PROTEINS,,UNIVERSITY OF WASHINGTON,Jan E Aagaard,2008,21787.0
ABALONE EGG COAT PROTEINS,,UNIVERSITY OF WASHINGTON,Jan E Aagaard,2007,5572.0
ABALONE EGG COAT PROTEINS,,UNIVERSITY OF WASHINGTON,Jan E Aagaard,2010,1445.0
Conserved Fetal Epigenomic Signatures in a Primate Model of Maternal Obesity,,BAYLOR COLLEGE OF MEDICINE,Kjersti Marie Aagaard,2012,413167.0
Source of the Placental Microbiome,,BAYLOR COLLEGE OF MEDICINE,Kjersti Marie Aagaard,2017,706990.0
Conserved Fetal Epigenomic and Metagenomic Signatures in a Primate Model of Maternal Obesity,,BAYLOR COLLEGE OF MEDICINE,Kjersti Marie Aagaard,2018,659426.0
Conserved Fetal Epigenomic and Metagenomic Signatures in a Primate Model of Maternal Obesity,,BAYLOR COLLEGE OF MEDICINE,Kjersti Marie Aagaard,2019,653159.0
Conserved Fetal Epigenomic and Metagenomic Signatures in a Primate Model of Maternal Obesity,,BAYLOR COLLEGE OF MEDICINE,Kjersti Marie Aagaard,2017,664282.0
Conserved Fetal Epigenomic Signatures in a Primate Model of Maternal Obesity,,BAYLOR COLLEGE OF MEDICINE,Kjersti Marie Aagaard,2016,287212.0
Conserved Fetal Epigenomic Signatures in a Primate Model of Maternal Obesity,,BAYLOR COLLEGE OF MEDICINE,Kjersti Marie Aagaard,2013,3631.0
A Multi'omics Approach towards Deciphering the Influence of the Microbiome on Pre,,BAYLOR COLLEGE OF MEDICINE,Kjersti Marie Aagaard,2015,527051.0
A Multi'omics Approach towards Deciphering the Influence of the Microbiome on Pre,,BAYLOR COLLEGE OF MEDICINE,Kjersti Marie Aagaard,2013,560670.0
Source of the Placental Microbiome,,BAYLOR COLLEGE OF MEDICINE,Kjersti Marie Aagaard,2020,668167.0
A Multi'omics Approach towards Deciphering the Influence of the Microbiome on Pre,,BAYLOR COLLEGE OF MEDICINE,Kjersti Marie Aagaard,2017,544777.0
Metformin in Pregnancy: Fetal Consequences & Long-term Offspring Outcomes in a NHP Model,,BAYLOR COLLEGE OF MEDICINE,Kjersti Marie Aagaard,2023,1421433.0
Project 2: Investigating the role of PAH exposures associated with superfund site proximity in preterm birth etiology through placental transcriptomics and metagenomics,,BAYLOR COLLEGE OF MEDICINE,Kjersti Marie Aagaard,2024,351922.0
Conserved Fetal Epigenomic and Metagenomic Signatures in a Primate Model of Maternal Obesity,,BAYLOR COLLEGE OF MEDICINE,Kjersti Marie Aagaard,2020,645963.0
Impact of Hurricane Harvey on the Maternal and Infant Microbiome and Birth Outcomes,,BAYLOR COLLEGE OF MEDICINE,Kjersti Marie Aagaard,2018,233070.0
Source of the Placental Microbiome,,BAYLOR COLLEGE OF MEDICINE,Kjersti Marie Aagaard,2019,676772.0
Source of the Placental Microbiome,,BAYLOR COLLEGE OF MEDICINE,Kjersti Marie Aagaard,2018,684924.0
Source of the Placental Microbiome,,BAYLOR COLLEGE OF MEDICINE,Kjersti Marie Aagaard,2021,646028.0
Conserved Fetal Epigenomic Signatures in a Primate Model of Maternal Obesity,,BAYLOR COLLEGE OF MEDICINE,Kjersti Marie Aagaard,2014,411819.0
Characterization of the Fetal Primate Epigenome and Metabolome Under In Utero,,BAYLOR COLLEGE OF MEDICINE,Kjersti Marie Aagaard,2011,3916.0
A Multi'omics Approach towards Deciphering the Influence of the Microbiome on Pre,,BAYLOR COLLEGE OF MEDICINE,Kjersti Marie Aagaard,2014,539616.0
Conserved Fetal Epigenomic Signatures in a Primate Model of Maternal Obesity,,BAYLOR COLLEGE OF MEDICINE,Kjersti Marie Aagaard,2013,407084.0
Metformin in Pregnancy: Fetal Consequences & Long-term Offspring Outcomes in a NHP Model,,BAYLOR COLLEGE OF MEDICINE,Kjersti Marie Aagaard,2022,1457012.0
Longitudinal Neural Imaging and Functional Resilience After Hurricane Harvey,,BAYLOR COLLEGE OF MEDICINE,Kjersti Marie Aagaard,2020,802801.0
Project 2: Investigating the role of PAH exposures associated with superfund site proximity in preterm birth etiology through placental transcriptomics and metagenomics,,BAYLOR COLLEGE OF MEDICINE,Kjersti Marie Aagaard,2021,244676.0
Project 2: Investigating the role of PAH exposures associated with superfund site proximity in preterm birth etiology through placental transcriptomics and metagenomics,,BAYLOR COLLEGE OF MEDICINE,Kjersti Marie Aagaard,2020,268461.0
Project 2: Investigating the role of PAH exposures associated with superfund site proximity in preterm birth etiology through placental transcriptomics and metagenomics,,BAYLOR COLLEGE OF MEDICINE,Kjersti Marie Aagaard,2023,244676.0
Conserved Fetal Epigenomic Signatures in a Primate Model of Maternal Obesity,,BAYLOR COLLEGE OF MEDICINE,Kjersti Marie Aagaard,2015,323834.0
Metformin in Pregnancy: Fetal Consequences & Long-term Offspring Outcomes in a NHP Model,,BAYLOR COLLEGE OF MEDICINE,Kjersti Marie Aagaard,2021,1545947.0
Conserved Fetal Epigenomic and Metagenomic Signatures in a Primate Model of Maternal Obesity,,BAYLOR COLLEGE OF MEDICINE,Kjersti Marie Aagaard,2021,637564.0
Impact of Hurricane Harvey on the Maternal and Infant Microbiome and Birth Outcomes,,BAYLOR COLLEGE OF MEDICINE,Kjersti Marie Aagaard,2019,198125.0
A Multi'omics Approach towards Deciphering the Influence of the Microbiome on Pre,,BAYLOR COLLEGE OF MEDICINE,Kjersti Marie Aagaard,2016,545506.0
Project 2: Investigating the role of PAH exposures associated with superfund site proximity in preterm birth etiology through placental transcriptomics and metagenomics,,BAYLOR COLLEGE OF MEDICINE,Kjersti Marie Aagaard,2022,244676.0
Characterization of the Fetal Primate Epigenome and Metabolome Under In Utero,,BAYLOR COLLEGE OF MEDICINE,Kjersti Marie Aagaard,2007,2302500.0
PUBLIC EDUCATION,,UNIVERSITY OF COLORADO,LESLIE  AAHOLM,1985,
PUBLIC EDUCATION,,UNIVERSITY OF COLORADO,LESLIE  AAHOLM,1986,
PUBLIC EDUCATION,,UNIVERSITY OF COLORADO,LESLIE  AAHOLM,1987,
Novel Treatments for Ocular Surface Diseases,,UNIVERSITY OF ILLINOIS AT CHICAGO,Vinay  Aakalu,2019,373394.0
Study of Accessory Lacrimal Gland and Precursor Cell Biology,,UNIVERSITY OF ILLINOIS AT CHICAGO,Vinay  Aakalu,2017,236427.0
Cellular and Molecular Biology Core,,UNIVERSITY OF ILLINOIS AT CHICAGO,Vinay  Aakalu,2025,183746.0
Cellular and Molecular Biology Core,,UNIVERSITY OF ILLINOIS AT CHICAGO,Vinay  Aakalu,2024,183746.0
Cellular and Molecular Biology Core,,UNIVERSITY OF ILLINOIS AT CHICAGO,Vinay  Aakalu,2022,183746.0
Novel Treatments for Modulation of Innate Immunity in Veteran Related Eye Diseases,,JESSE BROWN VA MEDICAL CENTER,Vinay  Aakalu,2022,
Novel Treatments for Ocular Surface Diseases,,UNIVERSITY OF ILLINOIS AT CHICAGO,Vinay  Aakalu,2022,387758.0
Study of Accessory Lacrimal Gland and Precursor Cell Biology,,UNIVERSITY OF ILLINOIS AT CHICAGO,Vinay  Aakalu,2014,236427.0
Study of Accessory Lacrimal Gland and Precursor Cell Biology,,UNIVERSITY OF ILLINOIS AT CHICAGO,Vinay  Aakalu,2015,236427.0
Study of Accessory Lacrimal Gland and Precursor Cell Biology,,UNIVERSITY OF ILLINOIS AT CHICAGO,Vinay  Aakalu,2018,236427.0
Novel Treatments for Modulation of Innate Immunity in Veteran Related Eye Diseases,,JESSE BROWN VA MEDICAL CENTER,Vinay  Aakalu,2021,
Novel Treatments for Ocular Surface Diseases,,UNIVERSITY OF ILLINOIS AT CHICAGO,Vinay  Aakalu,2021,387757.0
Novel Treatments for Modulation of Innate Immunity in Veteran Related Eye Diseases,,JESSE BROWN VA MEDICAL CENTER,Vinay  Aakalu,2023,
Cellular and Molecular Biology Core,,UNIVERSITY OF ILLINOIS AT CHICAGO,Vinay  Aakalu,2021,183746.0
Novel Treatments for Ocular Surface Diseases,,UNIVERSITY OF ILLINOIS AT CHICAGO,Vinay  Aakalu,2020,399750.0
Novel Treatments for Modulation of Innate Immunity in Veteran Related Eye Diseases,,JESSE BROWN VA MEDICAL CENTER,Vinay  Aakalu,2020,
Novel Treatments for Modulation of Innate Immunity in Veteran Related Eye Diseases,,JESSE BROWN VA MEDICAL CENTER,Vinay  Aakalu,2019,
Cellular and Molecular Biology Core,,UNIVERSITY OF ILLINOIS AT CHICAGO,Vinay  Aakalu,2020,175425.0
Study of Accessory Lacrimal Gland and Precursor Cell Biology,,UNIVERSITY OF ILLINOIS AT CHICAGO,Vinay  Aakalu,2016,236427.0
