researcher_name,orcid,institution,country,works_count,cited_by_count
Masaki OSAKABE,https://orcid.org/0000-0001-5220-947X,National Institute for Fusion Science,JP,322305,0
Y. Suzuki,,National Institute for Fusion Science,JP,321338,0
S. Kamio,https://orcid.org/0000-0003-0755-2433,"University of California, Irvine",US,319122,1281
Tomoki Kondo,https://orcid.org/0000-0003-2570-1324,National Institute for Fusion Science,JP,312504,861
Royal Botanic Garden Edinburgh,,,,296572,0
Yasuhiro SUZUKI,,National Institute for Fusion Science,JP,292678,0
Scott Baker,,Environmental Molecular Sciences Laboratory,US,278862,23
Hiroshi HAYASHI,,National Institute for Fusion Science,JP,267147,0
K. Ida,,National Institute for Fusion Science,JP,267081,0
Haruo Sekiguchi,,National Institute for Fusion Science,JP,249806,46
Ryosuke SEKI,https://orcid.org/0000-0002-5364-805X,National Institute for Fusion Science,JP,246848,0
Mikiya Shibuya,,National Institute for Fusion Science,JP,236977,394
Kenichi NAGAOKA,,National Institute for Fusion Science,JP,236968,0
Katsunori IKEDA,,National Institute for Fusion Science,JP,236968,0
Masaki OSAKABE,,National Institute for Fusion Science,JP,236968,0
Yasuko Kawamoto,,National Institutes of Natural Sciences,JP,226522,0
M. Kisaki,,National Institute for Fusion Science,JP,212532,1065
Katsumi IDA,,National Institute for Fusion Science,JP,189580,0
C. Suzuki,,"The Graduate University for Advanced Studies, SOKENDAI",JP,177543,0
Hiroshi HAYASHI,,National Institute for Fusion Science,JP,177542,0
Royal Botanic Garden Edinburgh,,,,174740,0
H. Tsuchiya,,National Institute for Fusion Science,JP,172779,742
Royal Botanic Garden Edinburgh,,,,171935,0
G. Nomura,,National Institutes of Natural Sciences,JP,166767,629
T. Seki,,National Institute for Fusion Science,JP,166703,8
Kenji TANAKA,https://orcid.org/0000-0002-1606-3204,National Institute for Fusion Science,JP,166379,0
University of Gothenburg,,,,163187,0
Katsuyoshi TSUMORI,,National Institute for Fusion Science,JP,161839,0
Royal Botanic Garden Edinburgh,,,,160166,0
Royal Botanic Garden Edinburgh,,,,157759,0
Y. Takemura,https://orcid.org/0000-0003-3754-897X,Kyushu University,JP,155356,1068
Tobias Guldberg Frøslev,,Global Biodiversity Information Facility,DK,153239,2
Yoshio NAGAYAMA,,National Institute for Fusion Science,JP,153105,0
Ryosuke SEKI,,National Institute for Fusion Science,JP,153064,0
Royal Botanic Garden Edinburgh,,,,150143,0
Hiroshi Kasahara,,National Institutes of Natural Sciences,JP,147999,0
Suguru MASUZAKI,,National Institute for Fusion Science,JP,147751,0
Masayuki YOKOYAMA,,National Institute for Fusion Science,JP,147650,0
Chihiro SUZUKI,,National Institute for Fusion Science,JP,147650,0
Masanobu YOSHIDA,,National Institute for Fusion Science,JP,147650,0
Katsumi IDA,,National Institute for Fusion Science,JP,147650,0
Yutaka FUJIWARA,https://orcid.org/0000-0003-2985-060X,National Institute for Fusion Science,JP,147380,0
Motoshi GOTO,,National Institute for Fusion Science,JP,146805,0
Yukio NAKAMURA,,National Institute for Fusion Science,JP,146516,0
Chihiro SUZUKI,,National Institute for Fusion Science,JP,145624,0
Naoki TAMURA,,National Institute for Fusion Science,JP,145624,0
Hayato Tsuchiya,https://orcid.org/0000-0002-8626-129X,National Institute for Fusion Science,JP,142718,101
Hiroe IGAMI,https://orcid.org/0000-0002-4541-1757,National Institute for Fusion Science,JP,142594,0
Kessy Abarenkov,,,,141373,14
Ichihiro YAMADA,https://orcid.org/0000-0002-7023-1539,National Institutes of Natural Sciences,JP,132969,0
Haruhisa NAKANO,,National Institute for Fusion Science,JP,132007,0
Yasuhiro SUZUKI,https://orcid.org/0000-0001-7618-6305,National Institute for Fusion Science,JP,130523,0
Royal Botanic Garden Edinburgh,,,,127752,0
Karl-Henrik Larsson,,,,127205,0
Björn Lindahl,,,,127205,0
R. Henrik Nilsson,,,,127205,0
Kadri Põldmaa,,,,127205,0
Matthew E. Smith,,,,127205,0
Urmas Kõljalg,,,,127205,0
Tom W. May,,,,127205,0
Ryosuke SEKI,,National Institute for Fusion Science,JP,126470,0
Markus Göker,https://orcid.org/0000-0002-5144-6200,Leibniz Association,DE,124032,37047
Royal Botanic Garden Edinburgh,,,,123831,0
Kunihiro OGAWA,https://orcid.org/0000-0003-4555-1837,National Institute for Fusion Science,JP,122512,0
Mitsutaka ISOBE,https://orcid.org/0000-0002-3572-1882,National Institute for Fusion Science,JP,122512,0
Joshua Adkins,https://orcid.org/0000-0003-0399-0700,Pacific Northwest National Laboratory,US,115988,17349
Josh Adkins,,Pacific Northwest National Laboratory,US,115739,0
Royal Botanic Garden Edinburgh,,,,113312,0
Royal Botanic Garden Edinburgh,,,,113283,0
Kunihiro OGAWA,https://orcid.org/0000-0003-4555-1837,National Institute for Fusion Science,JP,112330,0
Mitsutaka ISOBE,https://orcid.org/0000-0002-3572-1882,National Institute for Fusion Science,JP,112330,0
Curator Integrated Ocean Drilling Program (TAMU),,,,111251,0
Katsumi IDA,https://orcid.org/0000-0002-0585-4561,National Institute for Fusion Science,JP,111148,0
Tetsuo SEKI,https://orcid.org/0000-0003-2718-4930,National Institute for Fusion Science,JP,110341,0
University of Gothenburg,,,,109755,0
Ryosuke SEKI,,National Institute for Fusion Science,JP,108427,0
Sarah Leichty,https://orcid.org/0000-0002-9609-9126,Environmental Molecular Sciences Laboratory,US,108318,78
Chihiro SUZUKI,https://orcid.org/0000-0001-6536-9034,National Institute for Fusion Science,JP,108077,0
Masanobu YOSHIDA,,National Institute for Fusion Science,JP,108077,0
Katsumi IDA,https://orcid.org/0000-0002-0585-4561,National Institute for Fusion Science,JP,108077,0
T. Nishitani,https://orcid.org/0000-0003-2254-3164,National Institute for Fusion Science,JP,106683,8034
T. Tokuzawa,,"The Graduate University for Advanced Studies, SOKENDAI",JP,102588,0
Suguru MASUZAKI,,National Institute for Fusion Science,JP,100093,0
M. Shoji,https://orcid.org/0000-0003-0655-7347,National Institutes of Natural Sciences,JP,100008,806356
S. Ohdachi,https://orcid.org/0000-0003-2880-9859,National Institute for Fusion Science,JP,97688,5595
Kenji SAITO,https://orcid.org/0000-0001-8972-6534,National Institute for Fusion Science,JP,97680,0
Yasuhiro SUZUKI,,National Institute for Fusion Science,JP,97555,0
George M Garrity,https://orcid.org/0000-0002-4465-7034,Michigan State University,US,96204,46680
Charles Thomas Parker,https://orcid.org/0000-0002-7436-3176,Lawrence Berkeley National Laboratory,US,95795,1920
Y. Fujiwara,,National Institute for Fusion Science,JP,95778,1114
Ryosuke SEKI,,National Institute for Fusion Science,JP,95521,0
Tujin Shi,https://orcid.org/0000-0002-5592-3588,Pacific Northwest National Laboratory,US,94863,4994
叶兴阳双语音标有声读物,,,,94790,0
M. Osakabe,https://orcid.org/0000-0001-5220-947X,National Institutes of Natural Sciences,JP,94283,11074
M. Isobe,https://orcid.org/0000-0002-3572-1882,National Institute for Fusion Science,JP,94156,8447
K. Ogawa,https://orcid.org/0000-0003-4555-1837,National Institutes of Natural Sciences,JP,93884,4700
R. Seki,https://orcid.org/0000-0002-5364-805X,National Institutes of Natural Sciences,JP,93669,2197
Chihiro SUZUKI,https://orcid.org/0000-0001-6536-9034,National Institute for Fusion Science,JP,93647,0
Daniel M. Master,https://orcid.org/0009-0004-3156-5757,Wheaton College - Illinois,US,91681,741
Lawrence E. Stager,,Harvard University Press,US,91668,1289
Masahiro KOBAYASHI,https://orcid.org/0000-0002-0990-7093,National Institute for Fusion Science,JP,91500,0
Kenji SAITO,,National Institute for Fusion Science,JP,89198,0
:unav,,,,86712,0
Royal Botanic Garden Edinburgh,,,,85571,0
C. Suzuki,https://orcid.org/0000-0001-6536-9034,"The Graduate University for Advanced Studies, SOKENDAI",JP,85438,5296
Masaki OSAKABE,,National Institute for Fusion Science,JP,85333,0
H. Tanaka,https://orcid.org/0000-0002-8025-008X,Nagoya University Hospital,JP,84371,1963
Gen MOTOJIMA,https://orcid.org/0000-0001-5522-3082,National Institute for Fusion Science,JP,84319,0
Ryo YASUHARA,https://orcid.org/0000-0001-5377-637X,National Institute for Fusion Science,JP,81570,0
Hiroshi HAYASHI,,National Institute for Fusion Science,JP,81570,0
M. Nishiura,https://orcid.org/0000-0002-2752-3333,National Institutes of Natural Sciences,JP,81012,1347
K. Tanaka,https://orcid.org/0000-0002-1606-3204,Hiroshima Institute of Technology,JP,80939,9081
T. Oishi,https://orcid.org/0000-0002-1171-8603,Tohoku University,JP,80100,1650
Yuki HAYASHI,,National Institute for Fusion Science,JP,79570,0
S. Matsuoka,https://orcid.org/0000-0003-2790-2226,National Institute for Fusion Science,JP,78095,309
Ryosuke SEKI,https://orcid.org/0000-0002-5364-805X,National Institute for Fusion Science,JP,77617,0
Kazuo TOI,,National Institute for Fusion Science,JP,76610,0
Karin Rodland,https://orcid.org/0000-0001-7070-6541,Oregon Health & Science University,US,75874,18175
Scott Baker,https://orcid.org/0000-0001-5085-3106,Environmental Molecular Sciences Laboratory,US,75655,18160
Matthew E. Smith,,,,73728,0
Kessy Abarenkov,,,,73728,0
Urmas Kõljalg,,,,73728,0
R. Henrik Nilsson,,,,73728,0
Kadri Põldmaa,,,,73728,0
Karl-Henrik Larsson,,,,73728,0
Tobias G. Frøslev,,,,73728,0
Tom W. May,,,,73728,0
Björn Lindahl,,,,73728,0
Masayuki YOKOYAMA,,National Institute for Fusion Science,JP,71238,0
Masanobu YOSHIDA,,National Institute for Fusion Science,JP,71238,0
Motonari Kanda,,National Institutes of Natural Sciences,JP,70612,44
Tokihiko TOKUZAWA,,National Institute for Fusion Science,JP,70561,0
Yasuhiro SUZUKI,https://orcid.org/0000-0001-7618-6305,National Institute for Fusion Science,JP,69849,0
Vladislav Petyuk,https://orcid.org/0000-0003-4076-151X,Pacific Northwest National Laboratory,US,69383,16763
Motoshi GOTO,https://orcid.org/0000-0002-9160-682X,National Institute for Fusion Science,JP,68591,0
Koichi SASAKI,,Hokkaido University,JP,68591,0
Y. Suzuki,https://orcid.org/0000-0001-7618-6305,Hiroshima University,JP,68327,7351
Kristin Burnum-Johnson,https://orcid.org/0000-0002-2722-4149,Pacific Northwest National Laboratory,US,67982,6794
Kenichi NAGAOKA,https://orcid.org/0000-0002-5892-6047,National Institute for Fusion Science,JP,67084,0
Suguru MASUZAKI,https://orcid.org/0000-0003-0161-0938,National Institute for Fusion Science,JP,67084,0
Ryosuke SEKI,https://orcid.org/0000-0002-5364-805X,National Institute for Fusion Science,JP,66124,0
Sarah Leichty,https://orcid.org/0000-0002-9609-9126,Environmental Molecular Sciences Laboratory,US,65503,0
Tao Liu,https://orcid.org/0000-0001-9529-6550,United States Air Force,US,65359,16181
Y Nagayama,,National Institute for Fusion Science,JP,65261,0
Matthew Monroe,https://orcid.org/0000-0002-1210-7169,Micron (United States),US,64199,16744
Naoki Kenmochi,,National Institutes of Natural Sciences,JP,63385,50
Hitoshi Yamaguchi,https://orcid.org/0000-0002-1177-3370,National Institutes of Natural Sciences,JP,63233,4207
K. Kawahata,,National Institute for Fusion Science,JP,63093,94
Kenichi NAGAOKA,,National Institute for Fusion Science,JP,62627,0
Haruhisa NAKANO,,National Institute for Fusion Science,JP,62627,0
Katsuyoshi TSUMORI,,National Institute for Fusion Science,JP,62627,0
Ron Moore,,Pacific Northwest National Laboratory,US,62260,38
Kunihiro OGAWA,,National Institutes of Natural Sciences,JP,62254,0
Chihiro SUZUKI,,National Institute for Fusion Science,JP,61999,0
Katsumi IDA,,National Institute for Fusion Science,JP,61999,0
Haylie Kimball,https://orcid.org/0000-0003-1147-7165,Environmental Molecular Sciences Laboratory,US,61035,0
Rosey Chu,,Environmental Molecular Sciences Laboratory,US,60688,98
Curator Integrated Ocean Drilling Program (TAMU),,,,60000,0
Masayuki YOKOYAMA,,National Institute for Fusion Science,JP,59728,0
Keisuke FUJII,https://orcid.org/0000-0003-0390-9984,Nagoya University,JP,59447,0
Kenji SAITO,,National Institute for Fusion Science,JP,58797,0
Marija Veličković,https://orcid.org/0000-0003-3664-5719,Pacific Northwest National Laboratory,US,58557,464
S. Masuzaki,https://orcid.org/0000-0003-0161-0938,"The Graduate University for Advanced Studies, SOKENDAI",JP,58220,12091
Juan Moisés de la Serna,https://orcid.org/0000-0002-8401-8018,Universidad de La Rioja,ES,57008,238
H. Sugama,https://orcid.org/0000-0001-5444-1758,National Institute for Fusion Science,JP,56763,4918
CF Tsai,,Chung Shan Medical University Hospital,TW,56683,0
M. Nunami,https://orcid.org/0000-0002-2459-2392,National Institute for Fusion Science,JP,56628,2007
Matthew E. Smith,,,,56434,0
Urmas Kõljalg,,,,56434,0
Kessy Abarenkov,,,,56434,0
Kadri Põldmaa,,,,56434,0
R. Henrik Nilsson,,,,56434,0
Tobias G. Frøslev,,,,56434,0
Karl-Henrik Larsson,,,,56434,0
Björn Lindahl,,,,56434,0
Tom W. May,,,,56434,0
Katsunori IKEDA,,National Institute for Fusion Science,JP,56293,0
Ashley Rubinstein,https://orcid.org/0000-0003-0221-4603,Henry Ford Health System,US,55975,124
Senckenberg Research Institute and Natural History Museum Frankfurt/M,,,,55328,0
L.C. Reimer,,,,54200,0
J. Sarda Carbasse,,,,54200,0
J. Koblitz,,,,54200,0
A. Podstawka,,,,54200,0
I. Schober,,,,54200,0
Curator Integrated Ocean Drilling Program (TAMU),,,,54149,0
S. Inagaki,https://orcid.org/0000-0002-4808-857X,Kyoto University,JP,54019,7416
Katsumi IDA,https://orcid.org/0000-0002-0585-4561,National Institute for Fusion Science,JP,53266,0
N. Nakajima,,National Institute for Fusion Science,JP,52434,4750
Yi-Ting Wang,https://orcid.org/0000-0001-7509-2016,,,52239,757
Tokihiko TOKUZAWA,https://orcid.org/0000-0001-5473-2109,National Institute for Fusion Science,JP,51396,0
Sarah Leichty,https://orcid.org/0000-0002-9609-9126,Environmental Molecular Sciences Laboratory,US,51194,0
Hiroyuki YAMAGUCHI,https://orcid.org/0000-0002-1177-3370,National Institute for Fusion Science,JP,51142,0
Dušan Veličković,https://orcid.org/0000-0001-7945-9620,Pacific Northwest National Laboratory,US,50833,3419
Tomokazu MIYATA,,National Institute for Fusion Science,JP,50206,0
Curator Integrated Ocean Drilling Program (TAMU),,,,50000,0
Chihiro SUZUKI,https://orcid.org/0000-0001-6536-9034,National Institute for Fusion Science,JP,49475,0
Masanobu YOSHIDA,,National Institute for Fusion Science,JP,49475,0
Katsumi IDA,https://orcid.org/0000-0002-0585-4561,National Institute for Fusion Science,JP,49475,0
Matthew E. Smith,,,,49323,0
Urmas Kõljalg,,,,49321,0
Kessy Abarenkov,,,,49321,0
Kadri Põldmaa,,,,49321,0
R. Henrik Nilsson,,,,49321,0
Tobias G. Frøslev,,,,49321,0
Karl-Henrik Larsson,,,,49321,0
Björn Lindahl,,,,49321,0
Tom W. May,,,,49321,0
Richard Smith,https://orcid.org/0000-0002-2381-2349,Hospital for Special Surgery,US,47949,114159
Masahiro KOBAYASHI,https://orcid.org/0000-0002-0990-7093,National Institute for Fusion Science,JP,46805,0
Mitsutaka ISOBE,,National Institute for Fusion Science,JP,46800,0
Sarah Leichty,https://orcid.org/0000-0002-9609-9126,Environmental Molecular Sciences Laboratory,US,45406,0
DBN herbarium,,,,45132,0
J. Sarda Carbasse,,,,43495,1
J. Koblitz,,,,43495,1
I. Schober,,,,43495,1
A. Podstawka,,,,43495,1
L.C. Reimer,,,,43495,1
Heather Olson,,Pacific Northwest National Laboratory,US,43031,1
Tsuyoshi AKIYAMA,,National Institute for Fusion Science,JP,42958,0
Masahiro KOBAYASHI,,National Institute for Fusion Science,JP,42957,0
Toru TSUJIMURA,https://orcid.org/0000-0002-2983-5920,National Institute for Fusion Science,JP,42251,0
Masaki OSAKABE,,National Institute for Fusion Science,JP,42007,0
Kiyomasa WATANABE,,National Institute for Fusion Science,JP,41753,0
Ryosuke SEKI,,National Institutes of Natural Sciences,JP,41655,8
H. Igami,,National Institutes of Natural Sciences,JP,40862,9
Haylie Kimball,https://orcid.org/0000-0003-1147-7165,Environmental Molecular Sciences Laboratory,US,40492,0
Josh Cuevas Fernandez,,Pacific Northwest National Laboratory,US,40225,0
Rui Zhao,https://orcid.org/0000-0003-0045-2974,Louisiana State University,US,40100,4160
Yuki Goto,https://orcid.org/0000-0001-6636-8500,National Institute for Fusion Science,JP,40050,953
Kenji Saito,https://orcid.org/0000-0001-8972-6534,ITER,FR,40048,7390
丈壽 萩庭,,,,40007,0
B Noble,https://orcid.org/0009-0004-9788-3475,University of Westminster,GB,39997,5575
Yuki Hayashi,https://orcid.org/0000-0001-6090-5010,Hokkaido University,JP,39961,1861
John B. Heppner,,Florida Museum of Natural History,US,39800,8521
Haylie Kimball,,Pacific Northwest National Laboratory,US,39776,0
Tetsuo Ozaki,,National Institute for Fusion Science,JP,39718,478
叶兴阳,,,,39606,0
Dominique Colinet,https://orcid.org/0000-0001-5122-5072,Centre National de la Recherche Scientifique,FR,39568,1829
Marc Bailly‐Bechet,https://orcid.org/0000-0002-6032-1127,"Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement",FR,39523,2127
Ercan Seçkin,https://orcid.org/0009-0003-6821-6967,Centre National de la Recherche Scientifique,FR,39505,3
Aurélie Séassau,,"Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement",FR,39491,227
Richard Smith,https://orcid.org/0000-0002-2381-2349,University of Iowa,US,39376,2149
Yasuhiro SUZUKI,,National Institute for Fusion Science,JP,39284,0
I. Schober,,,,38673,0
L.C. Reimer,,,,38673,0
J. Sarda Carbasse,,,,38673,0
J. Koblitz,,,,38673,0
A. Podstawka,,,,38673,0
S. Kubo,https://orcid.org/0000-0002-4634-9094,Chubu University,JP,38017,8765
Matthew E. Smith,,,,37846,0
Urmas Kõljalg,,,,37846,0
Kessy Abarenkov,,,,37846,0
Kadri Põldmaa,,,,37846,0
R. Henrik Nilsson,,,,37846,0
Tobias G. Frøslev,,,,37846,0
Karl-Henrik Larsson,,,,37846,0
Björn Lindahl,,,,37846,0
Tom W. May,,,,37846,0
Karl Weitz,https://orcid.org/0000-0003-3453-1283,Pacific Northwest National Laboratory,US,37685,5835
Kenichi NAGAOKA,,National Institute for Fusion Science,JP,37680,0
Sarah Leichty,https://orcid.org/0000-0002-9609-9126,Environmental Molecular Sciences Laboratory,US,37552,0
叶兴阳,,,,37256,0
Naturalis Biodiversity Center,,,,36676,0
Shigeru MORITA,https://orcid.org/0000-0003-4139-7721,National Institute for Fusion Science,JP,36435,0
Motoshi GOTO,https://orcid.org/0000-0002-9160-682X,National Institute for Fusion Science,JP,36435,0
Bolus Herbarium,,University of Cape Town,ZA,36059,0
Yasuhiro SUZUKI,https://orcid.org/0000-0001-7618-6305,National Institute for Fusion Science,JP,35606,0
Yuki HAYASHI,https://orcid.org/0000-0001-6090-5010,National Institute for Fusion Science,JP,35146,0
Sarah Leichty,https://orcid.org/0000-0002-9609-9126,Environmental Molecular Sciences Laboratory,US,34395,0
Yoshio NAGAYAMA,,National Institute for Fusion Science,JP,33574,0
Haylie Kimball,https://orcid.org/0000-0003-1147-7165,Environmental Molecular Sciences Laboratory,US,33541,0
Weijun Qian,https://orcid.org/0000-0002-5393-2827,Pacific Northwest National Laboratory,US,32262,23928
Curator Integrated Ocean Drilling Program (TAMU),,,,32000,0
Thomas Fillmore,https://orcid.org/0000-0002-3763-589X,Pacific Northwest National Laboratory,US,31379,2608
Tom Metz,https://orcid.org/0000-0001-6049-3968,Pacific Northwest National Laboratory,US,31347,4
Makoto Kobayashi,https://orcid.org/0000-0003-0920-2154,National Institute for Fusion Science,JP,30764,2146
Y. Kawamoto,https://orcid.org/0000-0002-6337-4080,"The Graduate University for Advanced Studies, SOKENDAI",JP,30728,240
Siriyaporn Sangaroon,https://orcid.org/0000-0002-0160-0468,Mahasarakham University,TH,30635,676
Naturalis Biodiversity Center,,,,29965,0
T. Tsujimura,https://orcid.org/0000-0002-2983-5920,Kyoto University,JP,29694,1407
Josh Cuevas Fernandez,,Pacific Northwest National Laboratory,US,28954,0
Iosr Journals,,,,28406,16696
Thomas Fillmore,https://orcid.org/0000-0002-3763-589X,Environmental Molecular Sciences Laboratory,US,28159,0
Gen MOTOJIMA,,National Institute for Fusion Science,JP,28073,0
S. Sakakibara,https://orcid.org/0000-0002-3306-0531,National Institutes of Natural Sciences,JP,27399,5378
Y. Narushima,https://orcid.org/0000-0002-3541-6298,National Institute for Fusion Science,JP,27358,3610
Carey Hand Funeral Home,,,,27098,0
Masayuki Shibuya,https://orcid.org/0000-0003-4427-3468,National Institute for Fusion Science,JP,26121,2818
Royal Botanic Garden Edinburgh,,,,25716,0
Haruhisa NAKANO,,National Institute for Fusion Science,JP,25511,0
John L. Capinera,,,,25478,11094
Unknown,,,,25305,0
Carrie Nicora,https://orcid.org/0000-0003-2461-9548,Pacific Northwest National Laboratory,US,25024,9354
André EX Brown,https://orcid.org/0000-0002-1324-8764,Imperial College London,GB,24930,4977
Hayato TSUCHIYA,https://orcid.org/0000-0002-8626-129X,National Institute for Fusion Science,JP,24660,0
William R Schafer,https://orcid.org/0000-0002-6676-8034,MRC Laboratory of Molecular Biology,GB,24587,15146
Chris Li,https://orcid.org/0000-0002-9350-2039,Johnson & Johnson (United States),US,24471,3523
Eviatar Yemini,https://orcid.org/0000-0003-1977-0761,Howard Hughes Medical Institute,US,24304,3576
Quee-Lim Ch'ng,https://orcid.org/0000-0003-1941-3828,King's College London,GB,24259,1415
Laura J Grundy,,University of Cambridge,GB,24257,1190
Curator Integrated Ocean Drilling Program (TAMU),,,,24206,0
Unknown,,,,23987,0
Paul Piehowski,https://orcid.org/0000-0001-5108-2227,Environmental Molecular Sciences Laboratory,US,23935,0
R. Yanai,https://orcid.org/0000-0002-4501-1956,National Institutes of Natural Sciences,JP,23798,91
T. Seki,,National Institutes of Natural Sciences,JP,23641,11
Haylie Kimball,https://orcid.org/0000-0003-1147-7165,Environmental Molecular Sciences Laboratory,US,23490,0
Rex Kerr,https://orcid.org/0000-0002-5109-1606,,,23447,12660
Mary McGown,,Environmental Molecular Sciences Laboratory,US,23385,0
Audrey Johns,,Environmental Molecular Sciences Laboratory,US,23385,0
Lee Ann McCue,https://orcid.org/0000-0003-4456-517X,Environmental Molecular Sciences Laboratory,US,23371,0
Tokihiko TOKUZAWA,,National Institute for Fusion Science,JP,23326,0
Sara Taylor,https://orcid.org/0009-0006-3216-8838,Pacific Northwest National Laboratory,US,23237,0
Curator Integrated Ocean Drilling Program (TAMU),,,,23056,0
Unknown,,,,23003,0
Kazuo TOI,,National Institute for Fusion Science,JP,22706,0
Kunihiro OGAWA,,National Institute for Fusion Science,JP,22706,0
Mitsutaka ISOBE,,National Institute for Fusion Science,JP,22706,0
Senckenberg - Leibniz Institution for Biodiversity and Earth System Research,,,,22383,0
Chee Wai Lee,,,,22107,184
Stephen Callister,https://orcid.org/0000-0003-1785-2755,Pacific Northwest National Laboratory,US,22054,0
Michael Currie,https://orcid.org/0000-0001-5885-7507,,,22029,571
Curator Integrated Ocean Drilling Program (TAMU),,,,22000,0
Haylie Kimball,https://orcid.org/0000-0003-1147-7165,Environmental Molecular Sciences Laboratory,US,21989,0
Gertrude Patello,,Environmental Molecular Sciences Laboratory,US,21594,0
Karin Rodland,https://orcid.org/0000-0001-7070-6541,Pacific Northwest National Laboratory,US,21294,0
Jim Hokanson,https://orcid.org/0000-0002-0560-4503,Marquette University,US,21274,1297
Karl Weitz,,Pacific Northwest National Laboratory,US,21091,373
Sebastian Funk,https://orcid.org/0000-0002-2842-3406,,,20989,36756
奈良国立文化財研究所平城宮跡発掘調査部,,,,20894,0
Sam Abbott,https://orcid.org/0000-0001-8057-8037,University of London,GB,20829,26437
Vivian Lin,https://orcid.org/0000-0001-9159-0031,Pacific Northwest National Laboratory,US,20702,0
Katharine Sherratt,https://orcid.org/0000-0003-2049-3423,London School of Hygiene & Tropical Medicine,GB,20683,2817
Christopher Bennett,https://orcid.org/0000-0002-8467-6192,Met Office,GB,20609,3890
Martin H. Weik,https://orcid.org/0000-0001-9297-642X,Centre National de la Recherche Scientifique,FR,20570,13389
GBIF.org User,,,,20526,10
Joe Hickson,,Met Office,GB,20525,80
Paul Piehowski,https://orcid.org/0000-0001-5108-2227,Pacific Northwest National Laboratory,US,20447,9428
J. Sarda Carbasse,,,,20357,0
L.C. Reimer,,,,20357,0
J. Koblitz,,,,20357,0
A. Podstawka,,,,20357,0
I. Schober,,,,20357,0
Curator Integrated Ocean Drilling Program (TAMU),,,,20000,0
N. Kenmochi,https://orcid.org/0000-0003-1088-8237,National Institutes of Natural Sciences,JP,19959,1258
GLIS of the ITPGRFA,,,,19822,0
Erik Hom,https://orcid.org/0000-0003-0964-0031,University of Mississippi,US,19784,0
Chihiro SUZUKI,,National Institute for Fusion Science,JP,19731,0
Naoki TAMURA,,National Institute for Fusion Science,JP,19731,0
Haylie Kimball,,Pacific Northwest National Laboratory,US,19569,0
Ryan Ziels,,University of British Columbia,CA,19366,0
