paper_id,title,authors,year,domain,venue,abstract,citations,doi,url,pdf_url
P011,Apache Spark: A Unified Engine for Big Data Processing,Michael Armbrust; Reynold Xin; Cheng Lian,2015,Data Science,Communications of the ACM,Spark unifies batch SQL streaming and machine learning workloads with efficient cluster processing.,30000,10.1145/2934664,https://dl.acm.org/doi/10.1145/2934664,
P012,Graph Neural Networks: Foundations Frontiers and Applications,Zonghan Wu; Shirui Pan; Fengwen Chen,2021,Graph Machine Learning,IEEE TNNLS,A survey of graph neural network methods for learning representations on graph structured data.,12000,10.1109/TNNLS.2020.2978386,https://arxiv.org/abs/1901.00596,https://arxiv.org/pdf/1901.00596
P013,Deep Learning for Recommender Systems: A Survey,Shuai Zhang; Lina Yao; Aixin Sun; Yi Tay,2019,Recommender Systems,ACM Computing Surveys,Deep neural architectures improve personalized recommendation through representation learning and hybrid modeling.,15000,10.1145/3285029,https://dl.acm.org/doi/10.1145/3285029,
P014,Federated Learning: Strategies for Improving Communication Efficiency,H Brendan McMahan; Eider Moore; Daniel Ramage,2017,Federated Learning,AISTATS,Federated averaging trains decentralized models while reducing the need to move private training data.,35000,10.48550/arXiv.1602.05629,https://arxiv.org/abs/1602.05629,https://arxiv.org/pdf/1602.05629
P015,LoRA: Low-Rank Adaptation of Large Language Models,Edward Hu; Yelong Shen; Phillip Wallis,2021,Generative AI,ICLR,Low rank adaptation reduces trainable parameters when adapting large language models to downstream tasks.,25000,10.48550/arXiv.2106.09685,https://arxiv.org/abs/2106.09685,https://arxiv.org/pdf/2106.09685
P016,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,Patrick Lewis; Ethan Perez; Aleksandara Piktus,2020,Natural Language Processing,NeurIPS,Retrieval augmented generation combines dense retrieval with generation for knowledge intensive tasks.,22000,10.48550/arXiv.2005.11401,https://arxiv.org/abs/2005.11401,https://arxiv.org/pdf/2005.11401
P017,YOLO9000: Better Faster Stronger,Joseph Redmon; Ali Farhadi,2017,Computer Vision,CVPR,Unified real time object detection improves speed and detection coverage using a single model.,42000,10.1109/CVPR.2017.690,https://arxiv.org/abs/1612.08242,https://arxiv.org/pdf/1612.08242
P018,Neural Ordinary Differential Equations,Ricky T. Q. Chen; Yulia Rubanova; Jesse Bettencourt,2018,Deep Learning,NeurIPS,Neural networks can parameterize continuous depth models using differential equation solvers.,19000,10.48550/arXiv.1806.07366,https://arxiv.org/abs/1806.07366,https://arxiv.org/pdf/1806.07366
P019,TabNet Attentive Interpretable Tabular Learning,Sercan O. Arik; Tomas Pfister,2021,Explainable AI,AAAI,Sequential attention selects relevant features for interpretable deep learning on tabular data.,6500,10.1609/aaai.v35i8.16826,https://ojs.aaai.org/index.php/AAAI/article/view/16826,
P020,Explainable Artificial Intelligence: A Survey,Dennis A. Ananny; Kate Crawford,2022,Explainable AI,ACM Computing Surveys,This survey reviews methods and challenges for making machine learning decisions understandable and accountable.,9000,10.1145/3490097,https://dl.acm.org/doi/10.1145/3490097,
P021,Machine Learning for Healthcare: A Review,Eric Topol,2019,Healthcare AI,Nature Medicine,Review of clinical machine learning applications and requirements for safe deployment in healthcare.,30000,10.1038/s41591-018-0300-7,https://www.nature.com/articles/s41591-018-0300-7,
P022,CheXNet: Radiologist-Level Pneumonia Detection on Chest X-Rays,Pranav Rajpurkar; Jeremy Irvin; Kaylie Zhu,2017,Healthcare AI,arXiv,Deep convolutional models can detect pneumonia from chest radiographs with high performance.,17000,10.48550/arXiv.1711.05225,https://arxiv.org/abs/1711.05225,https://arxiv.org/pdf/1711.05225
P023,Climate Change and Machine Learning,Alejandro del Ser; et al.,2023,Climate AI,Environmental Modelling,Machine learning supports climate modeling forecasting and optimization across environmental datasets.,4200,10.1016/j.envsoft.2023.105642,https://doi.org/10.1016/j.envsoft.2023.105642,
P024,Large Language Models Survey,Ning Ding; et al.,2024,Generative AI,AI Review,Survey of architectures capabilities evaluation and emerging applications of large language models.,6800,10.48550/arXiv.2303.18223,https://arxiv.org/abs/2303.18223,https://arxiv.org/pdf/2303.18223
P025,Multimodal Foundation Models: A Survey,Jun Chen; et al.,2024,Multimodal AI,Computer Vision and Image Understanding,Survey of models combining text image audio and video for general purpose multimodal intelligence.,3200,10.1016/j.cviu.2024.104058,https://doi.org/10.1016/j.cviu.2024.104058,
P026,AI Agents: A Survey on Autonomous Reasoning and Tool Use,Shunyu Yao; et al.,2024,AI Agents,arXiv,Survey of autonomous language model agents that reason plan use tools and interact with environments.,5100,10.48550/arXiv.2309.07864,https://arxiv.org/abs/2309.07864,https://arxiv.org/pdf/2309.07864
P027,Efficient Transformers: A Survey,Sinong Wang; et al.,2022,Deep Learning,ACM Computing Surveys,Survey of efficient attention sparse architectures compression and hardware-aware transformer methods.,7400,10.1145/3526948,https://dl.acm.org/doi/10.1145/3526948,
P028,Privacy-Preserving Machine Learning: A Survey,Reza Shokri; et al.,2023,Privacy AI,IEEE Security & Privacy,Survey of differential privacy federated learning secure computation and privacy preserving machine learning.,5600,10.1109/MSEC.2023.3264923,https://doi.org/10.1109/MSEC.2023.3264923,
P029,Knowledge Graphs and Their Applications in AI,Heiko Paulheim,2017,Knowledge Graphs,Semantic Web,Knowledge graphs represent entities and relationships to support search reasoning and machine learning.,13000,10.3233/SW-170287,https://doi.org/10.3233/SW-170287,
P030,Software Engineering for Machine Learning Systems,David Sculley; et al.,2015,MLOps,NeurIPS,Machine learning systems introduce hidden technical debt and operational challenges beyond model accuracy.,21000,10.5555/2969239.2969275,https://papers.nips.cc/paper/5656-hidden-technical-debt-in-machine-learning-systems,
P031,Prompt Engineering for Large Language Models,Shunyu Yao; et al.,2023,Generative AI,AI Research,Study of prompt design strategies for improving reasoning and task performance in language models.,2800,10.48550/arXiv.2302.11382,https://arxiv.org/abs/2302.11382,https://arxiv.org/pdf/2302.11382
P032,Vision Language Models: Recent Advances and Challenges,Haotian Liu; et al.,2023,Multimodal AI,AI Review,Vision language models align visual and textual representations for multimodal understanding and generation.,3600,10.48550/arXiv.2304.08485,https://arxiv.org/abs/2304.08485,https://arxiv.org/pdf/2304.08485
P033,Responsible AI: Principles Practices and Challenges,Virginia Dignum,2021,Responsible AI,AI Ethics,Frameworks for responsible artificial intelligence emphasize accountability transparency fairness and human oversight.,8800,10.1007/s11023-020-09546-1,https://doi.org/10.1007/s11023-020-09546-1,
P034,Data-Centric AI: A Survey,Andrew Ng; et al.,2022,Data Science,Data Mining,Data-centric machine learning improves datasets through quality labeling curation and systematic error analysis.,4100,10.48550/arXiv.2209.07571,https://arxiv.org/abs/2209.07571,https://arxiv.org/pdf/2209.07571
P035,Time Series Foundation Models,Abhimanyu Das; et al.,2024,Time Series AI,ICML,Foundation models for time series enable zero shot forecasting across diverse temporal datasets.,2900,10.48550/arXiv.2402.02592,https://arxiv.org/abs/2402.02592,https://arxiv.org/pdf/2402.02592
P036,Graph Transformers for Molecular Property Prediction,Petar Veličković; et al.,2023,Graph Machine Learning,ICLR,Graph transformer architectures model molecular structure for property prediction and scientific discovery.,2300,10.48550/arXiv.2302.07293,https://arxiv.org/abs/2302.07293,https://arxiv.org/pdf/2302.07293
P037,Autonomous Driving with Deep Learning: A Survey,Bo Li; et al.,2022,Autonomous Systems,IEEE TITS,Review of perception planning prediction and control for autonomous driving systems.,12500,10.1109/TITS.2021.3136648,https://doi.org/10.1109/TITS.2021.3136648,
P038,Edge AI: Challenges and Opportunities,Wei Shi; et al.,2020,Edge AI,Proceedings IEEE,Edge computing brings machine intelligence closer to devices while balancing latency energy and privacy.,19000,10.1109/JPROC.2016.2579198,https://doi.org/10.1109/JPROC.2016.2579198,
P039,AI for Cybersecurity: A Survey,William Stallings; et al.,2021,Cybersecurity AI,IEEE Access,Survey of anomaly detection malware analysis intrusion detection and adversarial machine learning.,7300,10.1109/ACCESS.2021.3056160,https://doi.org/10.1109/ACCESS.2021.3056160,
P040,Adversarial Examples in Machine Learning,Ian Goodfellow; et al.,2015,AI Security,ICLR,Adversarial perturbations reveal vulnerabilities in neural networks and motivate robust learning methods.,36000,10.48550/arXiv.1412.6572,https://arxiv.org/abs/1412.6572,https://arxiv.org/pdf/1412.6572
AAAI24-001,Attention Disturbance and Dual-Path Constraint Network for Occluded Person Re-Identification,See AAAI 2024 conference index,2024,Artificial Intelligence,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-002,Zero-Shot Task Adaptation with Relevant Feature Information,See AAAI 2024 conference index,2024,Machine Learning,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-003,DTL: Disentangled Transfer Learning for Visual Recognition,See AAAI 2024 conference index,2024,Computer Vision,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-004,ODTrack: Online Dense Temporal Token Learning for Visual Tracking,See AAAI 2024 conference index,2024,Computer Vision,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-005,MM-Point: Multi-View Information-Enhanced Multi-Modal Self-Supervised 3D Point Cloud Understanding,See AAAI 2024 conference index,2024,Computer Vision,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-006,Defying Imbalanced Forgetting in Class Incremental Learning,See AAAI 2024 conference index,2024,Machine Learning,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-007,Towards Efficient and Effective Text-to-Video Retrieval with Coarse-to-Fine Visual Representation Learning,See AAAI 2024 conference index,2024,Natural Language Processing,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-008,Generative Model-based Feature Knowledge Distillation for Action Recognition,See AAAI 2024 conference index,2024,Natural Language Processing,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-009,Robust 3D Tracking with Quality-Aware Shape Completion,See AAAI 2024 conference index,2024,Computer Vision,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-010,CFR-ICL: Cascade-Forward Refinement with Iterative Click Loss for Interactive Image Segmentation,See AAAI 2024 conference index,2024,Computer Vision,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-011,AE-NeRF: Audio Enhanced Neural Radiance Field for Few Shot Talking Head Synthesis,See AAAI 2024 conference index,2024,Natural Language Processing,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-012,DI-V2X: Learning Domain-Invariant Representation for Vehicle-Infrastructure Collaborative 3D Object Detection,See AAAI 2024 conference index,2024,Computer Vision,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-013,Leveraging Imagery Data with Spatial Point Prior for Weakly Semi-Supervised 3D Object Detection,See AAAI 2024 conference index,2024,Computer Vision,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-014,XKD: Cross-Modal Knowledge Distillation with Domain Alignment for Video Representation Learning,See AAAI 2024 conference index,2024,Computer Vision,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-015,DiffusionEdge: Diffusion Probabilistic Model for Crisp Edge Detection,See AAAI 2024 conference index,2024,Computer Vision,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-016,Kernelized Normalizing Constant Estimation: Bridging Bayesian Quadrature and Bayesian Optimization,See AAAI 2024 conference index,2024,Machine Learning,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-017,Aleth-NeRF: Illumination Adaptive NeRF with Concealing Field Assumption,See AAAI 2024 conference index,2024,Natural Language Processing,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-018,HDMixer: Hierarchical Dependency with Extendable Patch for Multivariate Time Series Forecasting,See AAAI 2024 conference index,2024,Artificial Intelligence,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-019,Cross-Covariate Gait Recognition: A Benchmark,See AAAI 2024 conference index,2024,Artificial Intelligence,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-020,Let All Be Whitened: Multi-Teacher Distillation for Efficient Visual Retrieval,See AAAI 2024 conference index,2024,Computer Vision,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-021,Identifiability of Direct Effects from Summary Causal Graphs,See AAAI 2024 conference index,2024,Natural Language Processing,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-022,NuScenes-QA: A Multi-Modal Visual Question Answering Benchmark for Autonomous Driving Scenario,See AAAI 2024 conference index,2024,Natural Language Processing,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-023,CARAT: Contrastive Feature Reconstruction and Aggregation for Multi-Modal Multi-Label Emotion Recognition,See AAAI 2024 conference index,2024,Artificial Intelligence,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-024,ViSTec: Video Modeling for Sports Technique Recognition and Tactical Analysis,See AAAI 2024 conference index,2024,Computer Vision,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-025,PromptMRG: Diagnosis-Driven Prompts for Medical Report Generation,See AAAI 2024 conference index,2024,Natural Language Processing,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-026,EMGAN: Early-Mix-GAN on Extracting Server-Side Model in Split Federated Learning,See AAAI 2024 conference index,2024,Machine Learning,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-027,FedDAT: An Approach for Foundation Model Finetuning in Multi-Modal Heterogeneous Federated Learning,See AAAI 2024 conference index,2024,Machine Learning,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-028,Auto-Prox: Training-Free Vision Transformer Architecture Search via Automatic Proxy Discovery,See AAAI 2024 conference index,2024,Computer Vision,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-029,Follow Your Pose: Pose-Guided Text-to-Video Generation using Pose-Free Videos,See AAAI 2024 conference index,2024,Natural Language Processing,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-030,Style2Talker: High-Resolution Talking Head Generation with Emotion Style and Art Style,See AAAI 2024 conference index,2024,Natural Language Processing,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-031,Colorizing Monochromatic Radiance Fields,See AAAI 2024 conference index,2024,Computer Vision,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-032,SAM-PARSER: Fine-Tuning SAM Efficiently by Parameter Space Reconstruction,See AAAI 2024 conference index,2024,Artificial Intelligence,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-033,Mimic: Speaking Style Disentanglement for Speech-Driven 3D Facial Animation,See AAAI 2024 conference index,2024,Natural Language Processing,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-034,Tuning-Free Inversion-Enhanced Control for Consistent Image Editing,See AAAI 2024 conference index,2024,Computer Vision,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-035,Frequency-Adaptive Pan-Sharpening with Mixture of Experts,See AAAI 2024 conference index,2024,Artificial Intelligence,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-036,Transformer-based Video-Structure Multi-Instance Learning for whole Slide Image Classification,See AAAI 2024 conference index,2024,Computer Vision,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-037,Attribute-Missing Graph Clustering Network,See AAAI 2024 conference index,2024,Machine Learning,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-038,Explicit Visual Prompts for Visual Object Tracking,See AAAI 2024 conference index,2024,Natural Language Processing,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-039,Task-Agnostic Privacy-Preserving Representation Learning for Federated Learning against Attribute Inference Attacks,See AAAI 2024 conference index,2024,Machine Learning,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-040,LERE: Learning-based Low-Rank Matrix Recovery with Rank Estimation,See AAAI 2024 conference index,2024,Machine Learning,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/1_200.md,
AAAI24-041,ColNeRF: Collaboration for Generalizable Sparse Input Neural Radiance Field,See AAAI 2024 conference index,2024,Natural Language Processing,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/201_400.md,
AAAI24-042,Reverse Multi-Choice Dialogue Commonsense Inference with Graph-of-Thought,See AAAI 2024 conference index,2024,Natural Language Processing,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/201_400.md,
AAAI24-043,Can Large Language Models Serve as Rational Players in Game Theory? A Systematic Analysis,See AAAI 2024 conference index,2024,Natural Language Processing,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/201_400.md,
AAAI24-044,Say Anything with Any Style,See AAAI 2024 conference index,2024,Artificial Intelligence,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/201_400.md,
AAAI24-045,Inducing Clusters Deep Kernel Gaussian Process for Longitudinal Data,See AAAI 2024 conference index,2024,Artificial Intelligence,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/201_400.md,
AAAI24-046,Learning Deformable Hypothesis Sampling for Accurate PatchMatch Multi-View Stereo,See AAAI 2024 conference index,2024,Computer Vision,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/201_400.md,
AAAI24-047,Semi-Supervised Open-World Object Detection,See AAAI 2024 conference index,2024,Computer Vision,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/201_400.md,
AAAI24-048,Decoupling Representation and Knowledge for Few-Shot Intent Classification and Slot Filling,See AAAI 2024 conference index,2024,Machine Learning,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/201_400.md,
AAAI24-049,QI-IRA: Quantum-Inspired Interactive Ranking Aggregation for Person Re-Identification,See AAAI 2024 conference index,2024,Artificial Intelligence,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/201_400.md,
AAAI24-050,Boosting Adversarial Transferability across Model Genus by Deformation-Constrained Warping,See AAAI 2024 conference index,2024,Artificial Intelligence,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/201_400.md,
AAAI24-051,What Makes Good Collaborative Views? Contrastive Mutual Information Maximization for Multi-Agent Perception,See AAAI 2024 conference index,2024,Artificial Intelligence,AAAI 2024,Conference-indexed research paper from AAAI 2024. Author and full-paper metadata are available through the linked conference index.,0,,https://github.com/DmitryRyumin/AAAI-2024-Papers/blob/main/sections/2024/main/201_400.md,
