organization_name,country,type,city,homepage_url,works_count,cited_by_count
The University of Queensland,AU,education,Brisbane,https://www.uq.edu.au,277859,27442707
Ludwig-Maximilians-Universität München,DE,education,Munich,https://www.lmu.de,276934,28969699
New York University,US,education,New York,https://www.nyu.edu,276763,26848678
University of Southern California,US,education,Los Angeles,https://usc.edu,274157,27886014
UNSW Sydney,AU,education,Sydney,https://www.unsw.edu.au/,273345,20091565
National Institutes of Health,US,government,Bethesda,https://www.nih.gov,273235,69322113
Duke University,US,education,Durham,https://duke.edu,269429,29879170
Harvard University Press,US,other,Cambridge,http://www.hup.harvard.edu/,269282,16064763
Nagoya University,JP,education,Nagoya,http://en.nagoya-u.ac.jp/,268196,14962763
University of Liège,BE,education,Liège,https://www.uliege.be,267598,8151728
Huazhong University of Science and Technology,CN,education,Wuhan,http://english.hust.edu.cn/,265561,23789539
University of Alberta,CA,education,Edmonton,https://www.ualberta.ca,264841,21052129
Sichuan University,CN,education,Chengdu,https://scu.edu.cn,264073,19963020
Northwestern University,US,education,Evanston,http://www.northwestern.edu/,261171,35825079
University of Arizona,US,education,Tucson,http://www.arizona.edu/,260639,23010707
King's College London,GB,education,London,http://www.kcl.ac.uk/index.aspx,260530,22819015
Politecnico di Milano,IT,education,Milan,https://polimi.it,256281,5790177
Washington University in St. Louis,US,education,St Louis,http://wustl.edu/,255440,40417977
Central South University,CN,education,Changsha,https://www.csu.edu.cn,254990,18803405
Hokkaido University,JP,education,Sapporo,https://www.global.hokudai.ac.jp/,254712,11712937
Sapienza University of Rome,IT,education,Rome,https://www.uniroma1.it,252236,20493540
"Rutgers, The State University of New Jersey",US,education,New Brunswick,http://www.rutgers.edu,251736,21543872
Universidad Nacional Autónoma de México,MX,education,Mexico City,http://www.unam.mx,250256,9121305
Massachusetts General Hospital,US,healthcare,Boston,http://www.massgeneral.org/,249986,48996860
Michigan State University,US,education,East Lansing,https://msu.edu/,247979,20006042
ETH Zurich,CH,education,Zurich,https://ethz.ch,247076,26965222
California Institute of Technology,US,education,Pasadena,https://www.caltech.edu,245160,37173385
Texas A&M University,US,education,College Station,https://www.tamu.edu/,244674,18809698
Seoul National University,KR,education,Seoul,https://www.snu.ac.kr,243952,21397017
"University of Maryland, College Park",US,education,College Park,https://umd.edu,242408,24244177
Fudan University,CN,education,Shanghai,https://fudan.edu.cn,242348,20199741
University of Amsterdam,NL,education,Amsterdam,https://www.uva.nl,237373,25420232
Utrecht University,NL,education,Utrecht,https://www.uu.nl,237233,20467721
Lund University,SE,education,Lund,https://www.lu.se,235413,22224211
Karolinska Institutet,SE,education,Stockholm,https://ki.se,234193,30470334
University of Hong Kong,HK,education,Pok Fu Lam,https://www.hku.hk,230607,22031918
Kyushu University,JP,education,Fukuoka,http://www.kyushu-u.ac.jp/english/,230535,14283332
Russian Academy of Sciences,RU,government,Moscow,http://www.ras.ru/,229015,6352254
Emory University,US,education,Atlanta,https://www.emory.edu,227743,23571400
Technical University of Munich,DE,education,Munich,https://www.tum.de,227478,18818406
Wuhan University,CN,education,Wuhan,https://www.whu.edu.cn,226910,17220916
Aarhus University,DK,education,Aarhus,https://www.au.dk,226308,12845634
Universität Hamburg,DE,education,Hamburg,http://www.uni-hamburg.de,225077,20424329
Harbin Institute of Technology,CN,education,Harbin,https://www.hit.edu.cn,223089,14258110
University of Bologna,IT,education,Bologna,https://www.unibo.it,221955,18621835
University of Liverpool,GB,education,Liverpool,http://www.liv.ac.uk/,221764,17889532
University of Helsinki,FI,education,Helsinki,https://www.helsinki.fi/,221579,21675313
"Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement",FR,government,Paris,https://www.inrae.fr/,221308,3605780
University of Utah,US,education,Salt Lake City,https://www.utah.edu,221126,20589479
University of Birmingham,GB,education,Birmingham,http://www.birmingham.ac.uk/index.aspx,217722,22931678
Leibniz-Institut für Pflanzengenetik und Kulturpflanzenforschung (IPK),DE,facility,Gatersleben,https://www.ipk-gatersleben.de,217206,852513
University of Bristol,GB,education,Bristol,http://bristol.ac.uk/,215481,21630291
Brigham and Women's Hospital,US,healthcare,Boston,http://www.brighamandwomens.org/,213714,42122452
University of Padua,IT,education,Padua,https://www.unipd.it,212706,19804648
Princeton University,US,education,Princeton,https://www.princeton.edu,212318,27122779
University of Bergen,NO,education,Bergen,http://www.uib.no/,211873,9248128
Université Claude Bernard Lyon 1,FR,education,Villeurbanne,https://www.univ-lyon1.fr,210401,17833033
Universidade Estadual de Campinas (UNICAMP),BR,education,Campinas,https://www.unicamp.br,209310,8249330
University of Science and Technology of China,CN,education,Hefei,https://ustc.edu.cn,208179,23035230
Radboud University Nijmegen,NL,education,Nijmegen,https://www.ru.nl,207306,24959519
Universidade Estadual Paulista (Unesp),BR,education,São Paulo,https://www2.unesp.br,206632,7196143
Tel Aviv University,IL,education,Tel Aviv,http://english.tau.ac.il/,206138,17236328
Xi'an Jiaotong University,CN,education,Xi'an,https://www.xjtu.edu.cn,204731,13232257
Uppsala University,SE,education,Uppsala,https://www.uu.se/en/,204466,18205731
Lomonosov Moscow State University,RU,education,Moscow,http://www.msu.ru/en/,203955,9103042
University of Virginia,US,education,Charlottesville,https://virginia.edu,203563,17559934
University of Zurich,CH,education,Zurich,https://uzh.ch/de.html,202737,20809448
Commissariat à l'Énergie Atomique et aux Énergies Alternatives,FR,government,Paris,https://www.cea.fr,200021,27534947
Shandong University,CN,education,Jinan,https://www.sdu.edu.cn,199814,14636920
Boston University,US,education,Boston,https://www.bu.edu,199141,24715024
University of Illinois Chicago,US,education,Chicago,https://www.uic.edu,198620,17568803
University of Calgary,CA,education,Calgary,https://www.ucalgary.ca,197881,14501347
Chinese University of Hong Kong,HK,education,Hong Kong,http://www.cuhk.edu.hk/english/index.html,197855,17663371
Chinese Academy of Medical Sciences & Peking Union Medical College,CN,education,Beijing,http://www.cams.ac.cn/,197255,17542720
Iowa State University,US,education,Ames,https://www.iastate.edu,196553,12698952
Georgia Institute of Technology,US,education,Atlanta,https://www.gatech.edu,196417,18056587
University of Leeds,GB,education,Leeds,https://www.leeds.ac.uk,195765,13854929
Arizona State University,US,education,Tempe,https://www.asu.edu,194930,13999422
Nanyang Technological University,SG,education,Singapore,https://www.ntu.edu.sg,194507,17615215
University of Glasgow,GB,education,Glasgow,http://www.gla.ac.uk/,193634,23342341
RWTH Aachen University,DE,education,Aachen,http://www.rwth-aachen.de/cms/~a/root/lidx/1/,192785,17454871
"University of California, Irvine",US,education,Irvine,http://uci.edu/,192782,20250362
Australian National University,AU,education,Canberra,https://www.anu.edu.au,192747,14656752
University of Iowa,US,education,Iowa City,https://uiowa.edu,192607,18895006
Tongji University,CN,education,Shanghai,https://www.tongji.edu.cn,191854,10666670
Consejo Nacional de Investigaciones Científicas y Técnicas,AR,government,Buenos Aires,https://www.conicet.gov.ar,191080,9408544
University of Sheffield,GB,education,Sheffield,https://www.sheffield.ac.uk,191037,15837359
Universitat de Barcelona,ES,education,Barcelona,https://web.ub.edu,190771,16857557
University of Oslo,NO,education,Oslo,http://www.uio.no/english/,189841,15755479
University of Nottingham,GB,education,Nottingham,http://www.nottingham.ac.uk/,187649,13645836
Nanjing University,CN,education,Nanjing,http://www.nju.edu.cn/english/,186538,16918515
University of Southampton,GB,education,Southampton,http://www.southampton.ac.uk/,185508,13069367
North Carolina State University,US,education,Raleigh,https://www.ncsu.edu/,184434,12238780
Jilin University,CN,education,Changchun,https://www.jlu.edu.cn/,183721,14611481
McMaster University,CA,education,Hamilton,https://www.mcmaster.ca,182590,18268287
University of Groningen,NL,education,Groningen,https://www.rug.nl,182172,20375313
Johns Hopkins Medicine,US,healthcare,Baltimore,https://www.hopkinsmedicine.org,180305,29020234
Yonsei University,KR,education,Seoul,https://www.yonsei.ac.kr,180136,13420787
Universidade Federal do Rio de Janeiro,BR,education,Rio de Janeiro,https://ufrj.br,178884,7915918
Université de Montréal,CA,education,Montreal,https://www.umontreal.ca,176579,14274729
Universidade Federal do Rio Grande do Sul,BR,education,Porto Alegre,http://www.ufrgs.br,176134,6789743
University of Bonn,DE,education,Bonn,https://www.uni-bonn.de,175423,17621680
Delft University of Technology,NL,education,Delft,https://www.tudelft.nl,175218,10973786
Mayo Clinic,US,healthcare,Rochester,https://www.mayoclinic.org,174931,27723743
Vanderbilt University,US,education,Nashville,http://www.vanderbilt.edu/,173027,19596074
National Taiwan University,TW,education,Taipei,http://www.ntu.edu.tw/english/,171824,12784701
Case Western Reserve University,US,education,Cleveland,https://case.edu,171762,16890519
Western University,CA,education,London,https://uwo.ca,170934,12351882
Virginia Tech,US,education,Blacksburg,https://www.vt.edu,170631,10436299
Tianjin University,CN,education,Tianjin,http://www.tju.edu.cn/english/,170526,12502116
The University of Texas MD Anderson Cancer Center,US,healthcare,Houston,https://www.mdanderson.org,170513,34154996
University of Miami,US,education,Coral Gables,https://welcome.miami.edu,169903,14051520
Ghent University,BE,education,Ghent,https://www.ugent.be,169316,16575038
University of Vienna,AT,education,Vienna,https://www.univie.ac.at,168417,10481841
Goethe University Frankfurt,DE,education,Frankfurt am Main,https://www.uni-frankfurt.de,168106,14849782
University of Colorado Boulder,US,education,Boulder,http://www.colorado.edu/,167525,18690302
Karlsruhe Institute of Technology,DE,education,Karlsruhe,https://www.kit.edu,167509,11314234
University of Göttingen,DE,education,Göttingen,http://www.uni-goettingen.de/en/1.html,167053,13541364
Université Paris-Saclay,FR,education,Gif-sur-Yvette,http://www.universite-paris-saclay.fr/fr,167000,15041769
Universidad Complutense de Madrid,ES,education,Madrid,https://www.ucm.es,166161,8013733
University of Ottawa,CA,education,Ottawa,https://www.uottawa.ca,165534,12210160
École Polytechnique Fédérale de Lausanne,CH,education,Lausanne,http://www.epfl.ch,165436,19832980
Tokyo Institute of Technology,JP,education,Tokyo,http://www.titech.ac.jp/english/,165247,9842023
Baylor College of Medicine,US,education,Houston,https://www.bcm.edu/,165112,27499413
Université de Lorraine,FR,education,Nancy,https://www.univ-lorraine.fr,163070,4271677
University of Kentucky,US,education,Lexington,https://www.uky.edu,163057,10902694
Université Grenoble Alpes,FR,education,Saint-Martin-d'Hères,https://www.univ-grenoble-alpes.fr,162549,11009857
Weatherford College,US,education,Weatherford,https://www.wc.edu/,162031,1740980
Lawrence Berkeley National Laboratory,US,facility,Berkeley,https://www.lbl.gov/,161592,30763387
Southeast University,CN,education,Nanjing,https://www.seu.edu.cn,160039,9398587
Universitat Autònoma de Barcelona,ES,education,Cerdanyola del Vallès,https://www.uab.cat,159455,12598880
Carnegie Mellon University,US,education,Pittsburgh,https://www.cmu.edu,158854,16592468
University of Stuttgart,DE,education,Stuttgart,http://www.uni-stuttgart.de/home/index.en.html,158802,5325480
Charité - Universitätsmedizin Berlin,DE,healthcare,Berlin,https://www.charite.de,158018,15783958
The University of Western Australia,AU,education,Perth,https://www.uwa.edu.au,158001,13385631
Friedrich Schiller University Jena,DE,education,Jena,https://www.uni-jena.de/en,157368,5555089
University of Alabama at Birmingham,US,education,Birmingham,https://www.uab.edu,156311,16030449
University of Waterloo,CA,education,Waterloo,https://uwaterloo.ca/,156304,9645235
Icahn School of Medicine at Mount Sinai,US,education,New York,https://icahn.mssm.edu,155576,19650499
University of Bern,CH,education,Bern,https://www.unibe.ch,154678,14268933
University of Freiburg,DE,education,Freiburg im Breisgau,https://www.uni-freiburg.de,154192,16923224
South China University of Technology,CN,education,Guangzhou,http://www.scut.edu.cn,153929,11332997
Hong Kong Polytechnic University,HK,education,Hong Kong,http://www.polyu.edu.hk/web/en/home/index.html,153729,9350859
University of Tübingen,DE,education,Tübingen,https://www.uni-tuebingen.de/en/university.html,153523,13034667
Friedrich-Alexander-Universität Erlangen-Nürnberg,DE,education,Erlangen,https://www.fau.de/,151877,12524893
Beihang University,CN,education,Beijing,https://buaa.edu.cn,151649,7798303
University of Naples Federico II,IT,education,Naples,https://www.unina.it,151511,12331579
Newcastle University,GB,education,Newcastle upon Tyne,https://www.ncl.ac.uk,151232,11855557
The University of Adelaide,AU,education,Adelaide,https://www.adelaide.edu.au,150988,29886521
University of Lisbon,PT,education,Lisbon,https://www.ulisboa.pt,150921,7974232
Technical University of Denmark,DK,education,Kongens Lyngby,https://dtu.dk,150159,12076810
Charles University,CZ,education,Prague,https://www.cuni.cz,148933,9186432
Universidade do Porto,PT,education,Porto,https://www.up.pt,148769,8155171
King Saud University,SA,education,Riyadh,https://ksu.edu.sa,148513,6371727
Hebrew University of Jerusalem,IL,education,Jerusalem,http://new.huji.ac.il/en,148464,11235708
University of Tennessee at Knoxville,US,education,Knoxville,https://www.utk.edu,147872,10561577
Istituti di Ricovero e Cura a Carattere Scientifico,IT,healthcare,Rome,http://www.salute.gov.it/portale/temi/p2_6.jsp?lingua=italiano&id=794&area=Ricerca%20sanitaria&menu=ssn,147622,14592543
Leiden University,NL,education,Leiden,http://www.leiden.edu/,147065,11952301
University of Rochester,US,education,Rochester,https://www.rochester.edu,146855,15870831
Freie Universität Berlin,DE,education,Berlin,https://www.fu-berlin.de,146326,9058879
"Istituto Nazionale di Fisica Nucleare, Sezione di Milano",IT,facility,Milan,https://www.mi.infn.it,146073,3274930
Indiana University – Purdue University Indianapolis,US,education,Indianapolis,http://www.iupui.edu,146040,13963632
Aix-Marseille Université,FR,education,Marseille,http://www.univ-amu.fr/,145909,11261056
University of Gothenburg,SE,education,Gothenburg,https://www.gu.se,145345,12757020
University of Colorado Denver,US,education,Denver,https://ucdenver.edu,145243,14656125
University of Electronic Science and Technology of China,CN,education,Chengdu,https://www.uestc.edu.cn,144548,7601726
University of Turin,IT,education,Turin,https://www.unito.it,144323,11634426
The University of Texas Southwestern Medical Center,US,healthcare,Dallas,https://www.utsouthwestern.edu,144285,21715205
"Czech Academy of Sciences, Institute of Archaeology, Prague",CZ,facility,Prague,https://www.arup.cas.cz,144230,17928
University of Florence,IT,education,Florence,https://www.unifi.it,143905,10664781
Polish Academy of Sciences,PL,government,Warsaw,http://www.english.pan.pl/,143711,6686829
Université de Montpellier,FR,education,Montpellier,https://umontpellier.fr,143493,9730490
The University of Texas Health Science Center at Houston,US,education,Houston,https://www.uth.edu/,143167,7981247
Cleveland Clinic,US,healthcare,Cleveland,http://my.clevelandclinic.org/,143093,15298567
Universidade Federal de Minas Gerais,BR,education,Belo Horizonte,https://www.ufmg.br/english/,142711,5916613
University of Auckland,NZ,education,Auckland,https://www.auckland.ac.nz/en.html,142264,9910339
Johannes Gutenberg University Mainz,DE,education,Mainz,https://www.uni-mainz.de,142262,16087636
University of Georgia,US,education,Athens,https://www.uga.edu,141746,11901636
"University at Buffalo, State University of New York",US,education,Buffalo,https://www.buffalo.edu/,141603,11389509
Chongqing University,CN,education,Chongqing,https://www.cqu.edu.cn,141594,8290334
"University of California, Santa Barbara",US,education,Santa Barbara,https://www.ucsb.edu,140716,18021499
University of Warwick,GB,education,Coventry,http://www2.warwick.ac.uk/,140276,9158091
Mayo Clinic in Arizona,US,healthcare,Scottsdale,https://www.mayoclinic.org/patient-visitor-guide/arizona,139659,14315620
Beijing Institute of Technology,CN,education,Beijing,https://bit.edu.cn,139169,7897477
Technische Universität Dresden,DE,education,Dresden,https://tu-dresden.de,139069,10153782
Dalian University of Technology,CN,education,Dalian,https://www.dlut.edu.cn,139037,9536394
Los Alamos National Laboratory,US,facility,Los Alamos,http://lanl.gov/,138190,12545669
Brown University,US,education,Providence,https://www.brown.edu,138183,14560209
Northwestern Polytechnical University,CN,education,Xi'an,https://www.nwpu.edu.cn,138058,7510841
Norwegian University of Science and Technology,NO,education,Trondheim,https://www.ntnu.edu,137629,7621519
Oeschger Centre for Climate Change Research,CH,facility,Bern,https://www.oeschger.unibe.ch/,137139,634091
Oak Ridge National Laboratory,US,facility,Oak Ridge,https://www.ornl.gov,137112,12367658
Queen Mary University of London,GB,education,London,http://www.qmul.ac.uk/,136601,13602675
University of Tsukuba,JP,education,Tsukuba,https://www.tsukuba.ac.jp,136312,9363823
University of Pisa,IT,education,Pisa,https://www.unipi.it,135932,12674346
Vrije Universiteit Amsterdam,NL,education,Amsterdam,https://vu.nl/,135511,11651723
Assistance Publique – Hôpitaux de Paris,FR,healthcare,Paris,http://www.aphp.fr/,135280,19367638
Capital Medical University,CN,education,Beijing,https://www.ccmu.edu.cn,133771,8226868
University of Missouri,US,education,Columbia,http://missouri.edu/,133378,8995493
University of Cologne,DE,education,Cologne,http://www.portal.uni-koeln.de/,132911,9547903
University of Geneva,CH,education,Geneva,https://www.unige.ch/,132728,15841585
Cairo University,EG,education,Giza,http://cu.edu.eg/Home,132396,3700306
National Yang Ming Chiao Tung University,TW,education,Hsinchu,https://www.nycu.edu.tw/,131310,8219246
The National Coalition on Black Civic Participation,US,nonprofit,Washington D.C.,https://www.ncbcp.org/,130984,191
University of South Florida,US,education,Tampa,http://www.usf.edu/,130946,8033339
Universitat de València,ES,education,Valencia,https://www.uv.es,130710,11314563
Stony Brook University,US,education,Stony Brook,https://www.stonybrook.edu,130636,13897451
Stockholm University,SE,education,Stockholm,https://www.su.se,130405,12539607
Wayne State University,US,education,Detroit,https://wayne.edu/,130219,11005999
Universidad de Buenos Aires,AR,education,Buenos Aires,https://www.uba.ar,129972,5588624
University of Cincinnati,US,education,Cincinnati,http://www.uc.edu/,129758,9968470
National and Kapodistrian University of Athens,GR,education,Athens,https://www.uoa.gr,129644,9938007
"University of Maryland, Baltimore",US,education,Baltimore,https://www.umaryland.edu,129641,16377482
Université Laval,CA,education,Québec,https://www.ulaval.ca,129008,9481416
Leipzig University,DE,education,Leipzig,https://www.uni-leipzig.de/en/,128586,6372717
Maastricht University,NL,education,Maastricht,https://www.maastrichtuniversity.nl,128406,11362281
Universidad Autónoma de Madrid,ES,education,Madrid,https://www.uam.es,127246,9792822
Sungkyunkwan University,KR,education,Seoul,https://skku.edu,126982,11142940
Cardiff University,GB,education,Cardiff,http://www.cardiff.ac.uk/,126877,13457711
Humboldt-Universität zu Berlin,DE,education,Berlin,https://www.hu-berlin.de/?set_language=en&cl=en,126460,10371838
Wageningen University & Research,NL,education,Wageningen,https://www.wur.nl/,125819,12402808
University of Massachusetts Amherst,US,education,Amherst Center,https://www.umass.edu,125742,11158459
University of Münster,DE,education,Münster,https://www.uni-muenster.de,124814,9199635
Colorado State University,US,education,Fort Collins,http://www.colostate.edu/,124481,9730007
Soochow University,CN,education,Suzhou,https://www.suda.edu.cn,124473,11144687
University of Tehran,IR,education,Tehran,http://www.ut.ac.ir/en,123838,4595412
Heinrich Heine University Düsseldorf,DE,education,Düsseldorf,http://www.uni-duesseldorf.de/home/en/home.html,123736,10494301
Jagiellonian University,PL,education,Krakow,https://www.uj.edu.pl,123474,5107928
Université de Bordeaux,FR,education,Bordeaux,https://www.u-bordeaux.fr,122742,8349969
Universidad de Granada,ES,education,Granada,https://www.ugr.es,122165,6817728
Ruhr University Bochum,DE,education,Bochum,https://www.ruhr-uni-bochum.de,121822,7567733
Oregon Health & Science University,US,education,Portland,https://www.ohsu.edu,121766,12468299
Queen's University,CA,education,Kingston,http://www.queensu.ca/,121239,8196389
Zhengzhou University,CN,education,Zhengzhou,https://www.zzu.edu.cn,120823,7323411
Commonwealth Scientific and Industrial Research Organisation,AU,government,Canberra,https://www.csiro.au,120313,9264811
Keio University,JP,education,Tokyo,https://www.keio.ac.jp,119970,7405932
Xiamen University,CN,education,Xiamen,https://www.xmu.edu.cn,119505,9578038
Louisiana State University,US,education,Baton Rouge,http://www.lsu.edu/,119316,8478032
Beijing Normal University,CN,education,Beijing,https://www.bnu.edu.cn,119253,6653434
Erasmus University Rotterdam,NL,education,Rotterdam,https://www.eur.nl,119075,12418982
University of Connecticut,US,education,Storrs,http://uconn.edu/,118629,8347580
Argonne National Laboratory,US,facility,Lemont,https://www.anl.gov,118343,14098856
Memorial Sloan Kettering Cancer Center,US,healthcare,New York,https://www.mskcc.org/,118146,30608042
University of Exeter,GB,education,Exeter,https://www.exeter.ac.uk,117984,7480551
National Cancer Institute,US,government,Bethesda,http://www.cancer.gov/,117888,28811812
George Washington University,US,education,Washington,http://www.gwu.edu/,117861,6440948
Oregon State University,US,education,Corvallis,https://oregonstate.edu,117595,8251792
Tufts University,US,education,Medford,https://www.tufts.edu,117422,12865900
Korea University,KR,education,Seoul,https://www.korea.ac.kr,117348,9752798
KTH Royal Institute of Technology,SE,education,Stockholm,https://www.kth.se,117093,8411126
Duke Medical Center,US,healthcare,Durham,https://www.dukehealth.org/locations/duke-university-medical-center,117033,19348418
Georgetown University,US,education,Washington,https://www.georgetown.edu,116970,8874586
University of Manitoba,CA,education,Winnipeg,https://umanitoba.ca,116954,7572999
City University of Hong Kong,HK,education,Hong Kong,https://www.cityu.edu.hk,116454,8025038
University of Kansas,US,education,Lawrence,https://ku.edu,115813,7853056
Korea Advanced Institute of Science and Technology,KR,education,Daejeon,https://www.kaist.ac.kr,115809,9244042
Nankai University,CN,education,Tianjin,https://nankai.edu.cn,115542,10046923
London School of Hygiene & Tropical Medicine,GB,education,London,http://www.lshtm.ac.uk/,114961,10486831
Technion – Israel Institute of Technology,IL,education,Haifa,http://www.technion.ac.il/,114508,8131192
University of Chile,CL,education,Santiago,http://www.uchile.cl/,114393,4726182
Aalborg University,DK,education,Aalborg,https://www.aau.dk,114130,4533781
Hiroshima University,JP,education,Hiroshima,http://www.hiroshima-u.ac.jp/index.html,113440,7095002
University of Belgrade,RS,education,Belgrade,http://www.bg.ac.rs/en/,113329,5885754
Technische Universität Berlin,DE,education,Berlin,https://www.tu.berlin,111797,5498408
Boston Children's Hospital,US,healthcare,Boston,https://www.childrenshospital.org,111639,15192511
Florida State University,US,education,Tallahassee,https://www.fsu.edu/,111427,8538435
University of Johannesburg,ZA,education,Johannesburg,https://www.uj.ac.za/,111348,1926680
Institut national de recherche en sciences et technologies du numérique,FR,government,Le Chesnay-Rocquencourt,https://inria.fr,110798,3608329
Tehran University of Medical Sciences,IR,education,Tehran,https://tums.ac.ir,110537,6434030
University of Malaya,MY,education,Kuala Lumpur,https://www.um.edu.my/,110532,5944718
Durham University,GB,education,Durham,https://www.dur.ac.uk/,110496,6959426
Institut de Recherche pour le Développement,FR,government,Marseille,https://en.ird.fr/,110477,6946286
University of Zagreb,HR,education,Zagreb,http://www.unizg.hr/,110454,3372315
University of Basel,CH,education,Basel,https://www.unibas.ch,109868,10600406
Université de Lille,FR,education,Lille,https://www.univ-lille.fr/home/,109758,5208926
Indiana University Bloomington,US,education,Bloomington,https://bloomington.iu.edu,109740,11073298
United States Geological Survey,US,government,Reston,https://www.usgs.gov,109510,8369267
Consejo Superior de Investigaciones Científicas,ES,government,Madrid,https://www.csic.es,109087,10126732
