funding_id,funding_title,funding_agency,funding_type,research_domain,keywords,eligibility,funding_amount,currency,application_deadline,duration,country,description,application_url,status,created_at
EU-HEU-2026-66985,Collaborative Research on Autonomous Agents for Sustainable Development,Horizon Europe,Award,Artificial Intelligence,"artificial intelligence, heu, ethics, deep learning, neural networks",Open to all international organizations and researchers.,1610000.0,EUR,2027-01-25,24 months,EU,"This program supports collaborative research on research into autonomous agents for sustainable development. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Horizon Europe (HEU) aims to foster innovation in the field of Artificial Intelligence.",https://www.heu.gov/funding/grants/eu-heu-2026-66985,OPEN,2026-05-06
EU-ERC-2026-30032,Advancements in Explainable Ai in High-Risk Environments,European Research Council,Grant,Artificial Intelligence,"artificial intelligence, erc, deep learning, neural networks, ethics","Ph.D. holders, early-career researchers, and university research groups.",1050000.0,EUR,2026-05-14,12 months,EU,"This program supports advancements in research into explainable AI in high-risk environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The European Research Council (ERC) aims to foster innovation in the field of Artificial Intelligence.",https://www.erc.gov/funding/grants/eu-erc-2026-30032,ARCHIVED,2026-02-27
EU-ERC-2026-84364,Investigation of Deep Learning using Predictive Analytics,European Research Council,Award,Artificial Intelligence,"artificial intelligence, erc, explainable AI, autonomous agents, generative AI",Consortia of higher education institutions and private industry partners.,1140000.0,EUR,2027-06-07,24 months,EU,"This program supports investigation of research into deep learning using predictive analytics. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The European Research Council (ERC) aims to foster innovation in the field of Artificial Intelligence.",https://www.erc.gov/funding/grants/eu-erc-2026-84364,OPEN,2026-06-25
CA-CIHR-2026-37760,Foundational Studies in Generative Ai to Improve Social Well-being,Canadian Institutes of Health Research,Fellowship,Artificial Intelligence,"artificial intelligence, cihr, autonomous agents, ethics, generative AI","Academic institutions, non-profit research organizations, and small businesses.",1425000.0,CAD,2026-12-04,36 months,CA,"This program supports foundational studies in research into generative AI to improve social well-being. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Canadian Institutes of Health Research (CIHR) aims to foster innovation in the field of Artificial Intelligence.",https://www.cihr.gov/funding/grants/ca-cihr-2026-37760,OPEN,2026-04-24
EU-ERC-2026-18392,Advancements in Deep Learning for Global Scale Applications,European Research Council,Grant,Artificial Intelligence,"artificial intelligence, erc, deep learning, generative AI, ethics","Ph.D. holders, early-career researchers, and university research groups.",1255000.0,EUR,2026-09-08,24 months,EU,"This program supports advancements in research into deep learning for global scale applications. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The European Research Council (ERC) aims to foster innovation in the field of Artificial Intelligence.",https://www.erc.gov/funding/grants/eu-erc-2026-18392,OPEN,2026-02-21
US-NSF-2026-53309,Investigation of Ethics to Improve Social Well-being,National Science Foundation,Cooperative Agreement,Artificial Intelligence,"artificial intelligence, nsf, ethics, explainable AI, autonomous agents","Ph.D. holders, early-career researchers, and university research groups.",1044000.0,USD,2027-04-21,24 months,US,"This program supports investigation of research into ethics to improve social well-being. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The National Science Foundation (NSF) aims to foster innovation in the field of Artificial Intelligence.",https://www.nsf.gov/funding/grants/us-nsf-2026-53309,OPEN,2026-05-02
CA-CIHR-2026-34957,Investigation of Deep Learning for Next-Generation Infrastructures,Canadian Institutes of Health Research,Cooperative Agreement,Artificial Intelligence,"artificial intelligence, cihr, generative AI, deep learning, ethics","Academic institutions, non-profit research organizations, and small businesses.",891000.0,CAD,2026-12-16,48 months,CA,"This program supports investigation of research into deep learning for next-generation infrastructures. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Canadian Institutes of Health Research (CIHR) aims to foster innovation in the field of Artificial Intelligence.",https://www.cihr.gov/funding/grants/ca-cihr-2026-34957,OPEN,2026-04-13
GB-UKRI-2026-24322,Development of Explainable Ai to Improve Social Well-being,UK Research and Innovation,Grant,Artificial Intelligence,"artificial intelligence, ukri, explainable AI, neural networks, autonomous agents","Ph.D. holders, early-career researchers, and university research groups.",337000.0,GBP,2026-12-29,48 months,GB,"This program supports development of research into explainable AI to improve social well-being. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The UK Research and Innovation (UKRI) aims to foster innovation in the field of Artificial Intelligence.",https://www.ukri.gov/funding/grants/gb-ukri-2026-24322,OPEN,2026-02-25
AU-ARC-2026-82132,Investigation of Deep Learning in High-Risk Environments,Australian Research Council,Grant,Artificial Intelligence,"artificial intelligence, arc, autonomous agents, generative AI, explainable AI","Individual researchers, scientists, and postdoctoral fellows.",390000.0,AUD,2026-06-30,48 months,AU,"This program supports investigation of research into deep learning in high-risk environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Australian Research Council (ARC) aims to foster innovation in the field of Artificial Intelligence.",https://www.arc.gov/funding/grants/au-arc-2026-82132,CLOSED,2026-07-09
US-DOE-2026-59672,Research on Autonomous Agents in Resource-Constrained Environments,Department of Energy,Contract,Artificial Intelligence,"artificial intelligence, doe, generative AI, autonomous agents, explainable AI","Ph.D. holders, early-career researchers, and university research groups.",916000.0,USD,2026-10-07,60 months,US,"This program supports research on research into autonomous agents in resource-constrained environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Department of Energy (DOE) aims to foster innovation in the field of Artificial Intelligence.",https://www.doe.gov/funding/grants/us-doe-2026-59672,OPEN,2026-03-18
EU-ERC-2026-17665,Engineering Next-Generation Generative Ai in High-Risk Environments,European Research Council,Award,Artificial Intelligence,"artificial intelligence, erc, deep learning, ethics, autonomous agents",Open to all international organizations and researchers.,692000.0,EUR,2027-05-31,12 months,EU,"This program supports engineering next-generation research into generative AI in high-risk environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The European Research Council (ERC) aims to foster innovation in the field of Artificial Intelligence.",https://www.erc.gov/funding/grants/eu-erc-2026-17665,OPEN,2026-06-27
US-DOE-2026-17455,Foundational Studies in Deep Learning in Modern Industry,Department of Energy,Award,Artificial Intelligence,"artificial intelligence, doe, autonomous agents, deep learning, explainable AI",Open to all international organizations and researchers.,189000.0,USD,2027-03-14,24 months,US,"This program supports foundational studies in research into deep learning in modern industry. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Department of Energy (DOE) aims to foster innovation in the field of Artificial Intelligence.",https://www.doe.gov/funding/grants/us-doe-2026-17455,OPEN,2026-06-25
US-NSF-2026-91183,Investigation of Autonomous Agents for Global Scale Applications,National Science Foundation,Cooperative Agreement,Artificial Intelligence,"artificial intelligence, nsf, explainable AI, neural networks, generative AI",Consortia of higher education institutions and private industry partners.,697000.0,USD,2027-02-05,36 months,US,"This program supports investigation of research into autonomous agents for global scale applications. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The National Science Foundation (NSF) aims to foster innovation in the field of Artificial Intelligence.",https://www.nsf.gov/funding/grants/us-nsf-2026-91183,OPEN,2026-02-18
US-DOE-2026-98039,Analyzing Autonomous Agents with Adaptive Feedback,Department of Energy,Contract,Artificial Intelligence,"artificial intelligence, doe, deep learning, generative AI, explainable AI",Open to all international organizations and researchers.,1322000.0,USD,2026-05-18,60 months,US,"This program supports analyzing research into autonomous agents with adaptive feedback. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Department of Energy (DOE) aims to foster innovation in the field of Artificial Intelligence.",https://www.doe.gov/funding/grants/us-doe-2026-98039,ARCHIVED,2026-06-24
US-DOE-2026-55745,Investigation of Explainable Ai with Adaptive Feedback,Department of Energy,Contract,Artificial Intelligence,"artificial intelligence, doe, generative AI, neural networks, deep learning",Open to all international organizations and researchers.,947000.0,USD,2026-08-02,60 months,US,"This program supports investigation of research into explainable AI with adaptive feedback. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Department of Energy (DOE) aims to foster innovation in the field of Artificial Intelligence.",https://www.doe.gov/funding/grants/us-doe-2026-55745,OPEN,2026-05-01
US-NIH-2026-27601,Analyzing Deep Learning using High-Performance Computing,National Institutes of Health,Contract,Artificial Intelligence,"artificial intelligence, nih, ethics, explainable AI, neural networks","Ph.D. holders, early-career researchers, and university research groups.",607000.0,USD,2026-08-01,36 months,US,"This program supports analyzing research into deep learning using high-performance computing. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The National Institutes of Health (NIH) aims to foster innovation in the field of Artificial Intelligence.",https://www.nih.gov/funding/grants/us-nih-2026-27601,OPEN,2026-02-21
JP-JSPS-2026-74032,Analyzing Deep Learning using High-Performance Computing,Japan Society for the Promotion of Science,Contract,Artificial Intelligence,"artificial intelligence, jsps, deep learning, generative AI, neural networks","Ph.D. holders, early-career researchers, and university research groups.",1748000.0,JPY,2026-12-16,36 months,JP,"This program supports analyzing research into deep learning using high-performance computing. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Japan Society for the Promotion of Science (JSPS) aims to foster innovation in the field of Artificial Intelligence.",https://www.jsps.gov/funding/grants/jp-jsps-2026-74032,OPEN,2026-01-31
US-DOE-2026-67912,Foundational Studies in Generative Ai for Next-Generation Infrastructures,Department of Energy,Award,Artificial Intelligence,"artificial intelligence, doe, ethics, deep learning, neural networks",Open to all international organizations and researchers.,204000.0,USD,2026-05-18,24 months,US,"This program supports foundational studies in research into generative AI for next-generation infrastructures. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Department of Energy (DOE) aims to foster innovation in the field of Artificial Intelligence.",https://www.doe.gov/funding/grants/us-doe-2026-67912,CLOSED,2026-02-19
US-DOE-2026-66333,Collaborative Research on Deep Learning in Resource-Constrained Environments,Department of Energy,Contract,Artificial Intelligence,"artificial intelligence, doe, neural networks, explainable AI, ethics","Academic institutions, non-profit research organizations, and small businesses.",1812000.0,USD,2027-06-25,12 months,US,"This program supports collaborative research on research into deep learning in resource-constrained environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Department of Energy (DOE) aims to foster innovation in the field of Artificial Intelligence.",https://www.doe.gov/funding/grants/us-doe-2026-66333,OPEN,2026-04-10
JP-JSPS-2026-63264,Engineering Next-Generation Generative Ai in Modern Industry,Japan Society for the Promotion of Science,Cooperative Agreement,Artificial Intelligence,"artificial intelligence, jsps, autonomous agents, deep learning, explainable AI",Consortia of higher education institutions and private industry partners.,1688000.0,JPY,2026-08-05,24 months,JP,"This program supports engineering next-generation research into generative AI in modern industry. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Japan Society for the Promotion of Science (JSPS) aims to foster innovation in the field of Artificial Intelligence.",https://www.jsps.gov/funding/grants/jp-jsps-2026-63264,OPEN,2026-05-13
EU-ERC-2026-44970,Collaborative Research on Generative Ai using High-Performance Computing,European Research Council,Fellowship,Artificial Intelligence,"artificial intelligence, erc, autonomous agents, neural networks, ethics","Ph.D. holders, early-career researchers, and university research groups.",505000.0,EUR,2026-06-02,24 months,EU,"This program supports collaborative research on research into generative AI using high-performance computing. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The European Research Council (ERC) aims to foster innovation in the field of Artificial Intelligence.",https://www.erc.gov/funding/grants/eu-erc-2026-44970,ARCHIVED,2026-04-06
US-NSF-2026-96511,Development of Autonomous Agents with Adaptive Feedback,National Science Foundation,Grant,Artificial Intelligence,"artificial intelligence, nsf, autonomous agents, ethics, neural networks","Academic institutions, non-profit research organizations, and small businesses.",769000.0,USD,2026-06-18,60 months,US,"This program supports development of research into autonomous agents with adaptive feedback. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The National Science Foundation (NSF) aims to foster innovation in the field of Artificial Intelligence.",https://www.nsf.gov/funding/grants/us-nsf-2026-96511,ARCHIVED,2026-05-02
EU-HEU-2026-33405,Engineering Next-Generation Neural Networks for Sustainable Development,Horizon Europe,Award,Artificial Intelligence,"artificial intelligence, heu, generative AI, neural networks, autonomous agents",Open to all international organizations and researchers.,939000.0,EUR,2027-03-15,36 months,EU,"This program supports engineering next-generation research into neural networks for sustainable development. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Horizon Europe (HEU) aims to foster innovation in the field of Artificial Intelligence.",https://www.heu.gov/funding/grants/eu-heu-2026-33405,OPEN,2026-06-15
US-NIH-2026-60488,Engineering Next-Generation Explainable Ai in Resource-Constrained Environments,National Institutes of Health,Cooperative Agreement,Artificial Intelligence,"artificial intelligence, nih, ethics, generative AI, explainable AI",Consortia of higher education institutions and private industry partners.,943000.0,USD,2027-05-11,12 months,US,"This program supports engineering next-generation research into explainable AI in resource-constrained environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The National Institutes of Health (NIH) aims to foster innovation in the field of Artificial Intelligence.",https://www.nih.gov/funding/grants/us-nih-2026-60488,OPEN,2026-07-01
US-NIH-2026-97062,Advancements in Ethics with Adaptive Feedback,National Institutes of Health,Cooperative Agreement,Artificial Intelligence,"artificial intelligence, nih, ethics, neural networks, autonomous agents",Consortia of higher education institutions and private industry partners.,1524000.0,USD,2026-07-16,36 months,US,"This program supports advancements in research into ethics with adaptive feedback. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The National Institutes of Health (NIH) aims to foster innovation in the field of Artificial Intelligence.",https://www.nih.gov/funding/grants/us-nih-2026-97062,OPEN,2026-01-24
EU-HEU-2026-82667,Collaborative Research on Explainable Ai for Next-Generation Infrastructures,Horizon Europe,Award,Artificial Intelligence,"artificial intelligence, heu, ethics, generative AI, neural networks","Individual researchers, scientists, and postdoctoral fellows.",1437000.0,EUR,2026-11-24,24 months,EU,"This program supports collaborative research on research into explainable AI for next-generation infrastructures. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Horizon Europe (HEU) aims to foster innovation in the field of Artificial Intelligence.",https://www.heu.gov/funding/grants/eu-heu-2026-82667,OPEN,2026-01-23
US-NSF-2026-49829,Analyzing Explainable Ai for Next-Generation Infrastructures,National Science Foundation,Award,Artificial Intelligence,"artificial intelligence, nsf, autonomous agents, generative AI, ethics","Ph.D. holders, early-career researchers, and university research groups.",1390000.0,USD,2027-03-20,36 months,US,"This program supports analyzing research into explainable AI for next-generation infrastructures. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The National Science Foundation (NSF) aims to foster innovation in the field of Artificial Intelligence.",https://www.nsf.gov/funding/grants/us-nsf-2026-49829,OPEN,2026-02-14
AU-ARC-2026-32241,Investigation of Neural Networks in High-Risk Environments,Australian Research Council,Fellowship,Artificial Intelligence,"artificial intelligence, arc, deep learning, explainable AI, neural networks","Ph.D. holders, early-career researchers, and university research groups.",1318000.0,AUD,2027-04-03,36 months,AU,"This program supports investigation of research into neural networks in high-risk environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Australian Research Council (ARC) aims to foster innovation in the field of Artificial Intelligence.",https://www.arc.gov/funding/grants/au-arc-2026-32241,OPEN,2026-01-24
US-DOE-2026-13201,Research on Explainable Ai using Predictive Analytics,Department of Energy,Cooperative Agreement,Artificial Intelligence,"artificial intelligence, doe, autonomous agents, ethics, explainable AI","Individual researchers, scientists, and postdoctoral fellows.",199000.0,USD,2027-06-11,48 months,US,"This program supports research on research into explainable AI using predictive analytics. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Department of Energy (DOE) aims to foster innovation in the field of Artificial Intelligence.",https://www.doe.gov/funding/grants/us-doe-2026-13201,OPEN,2026-02-06
CA-CIHR-2026-41979,Collaborative Research on Generative Ai for Sustainable Development,Canadian Institutes of Health Research,Award,Artificial Intelligence,"artificial intelligence, cihr, explainable AI, ethics, autonomous agents","Academic institutions, non-profit research organizations, and small businesses.",920000.0,CAD,2027-06-16,24 months,CA,"This program supports collaborative research on research into generative AI for sustainable development. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Canadian Institutes of Health Research (CIHR) aims to foster innovation in the field of Artificial Intelligence.",https://www.cihr.gov/funding/grants/ca-cihr-2026-41979,OPEN,2026-06-15
EU-ERC-2026-25906,Strategic Innovation in Explainable Ai using Predictive Analytics,European Research Council,Cooperative Agreement,Artificial Intelligence,"artificial intelligence, erc, neural networks, autonomous agents, ethics",Open to all international organizations and researchers.,1194000.0,EUR,2027-02-09,60 months,EU,"This program supports strategic innovation in research into explainable AI using predictive analytics. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The European Research Council (ERC) aims to foster innovation in the field of Artificial Intelligence.",https://www.erc.gov/funding/grants/eu-erc-2026-25906,OPEN,2026-01-23
US-DOE-2026-72216,Strategic Innovation in Neural Networks to Improve Social Well-being,Department of Energy,Grant,Artificial Intelligence,"artificial intelligence, doe, autonomous agents, explainable AI, neural networks","Individual researchers, scientists, and postdoctoral fellows.",1618000.0,USD,2026-10-02,60 months,US,"This program supports strategic innovation in research into neural networks to improve social well-being. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Department of Energy (DOE) aims to foster innovation in the field of Artificial Intelligence.",https://www.doe.gov/funding/grants/us-doe-2026-72216,OPEN,2026-01-30
EU-HEU-2026-40735,Analyzing Neural Networks with Adaptive Feedback,Horizon Europe,Cooperative Agreement,Artificial Intelligence,"artificial intelligence, heu, autonomous agents, explainable AI, ethics","Academic institutions, non-profit research organizations, and small businesses.",358000.0,EUR,2026-06-24,24 months,EU,"This program supports analyzing research into neural networks with adaptive feedback. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Horizon Europe (HEU) aims to foster innovation in the field of Artificial Intelligence.",https://www.heu.gov/funding/grants/eu-heu-2026-40735,CLOSED,2026-02-24
CA-CIHR-2026-53369,Foundational Studies in Autonomous Agents for Next-Generation Infrastructures,Canadian Institutes of Health Research,Cooperative Agreement,Artificial Intelligence,"artificial intelligence, cihr, autonomous agents, ethics, deep learning",Open to all international organizations and researchers.,1755000.0,CAD,2026-08-27,48 months,CA,"This program supports foundational studies in research into autonomous agents for next-generation infrastructures. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Canadian Institutes of Health Research (CIHR) aims to foster innovation in the field of Artificial Intelligence.",https://www.cihr.gov/funding/grants/ca-cihr-2026-53369,OPEN,2026-06-27
AU-ARC-2026-10772,Advancements in Neural Networks for Next-Generation Infrastructures,Australian Research Council,Contract,Artificial Intelligence,"artificial intelligence, arc, ethics, explainable AI, autonomous agents","Ph.D. holders, early-career researchers, and university research groups.",1580000.0,AUD,2027-02-13,60 months,AU,"This program supports advancements in research into neural networks for next-generation infrastructures. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Australian Research Council (ARC) aims to foster innovation in the field of Artificial Intelligence.",https://www.arc.gov/funding/grants/au-arc-2026-10772,OPEN,2026-03-27
CA-CIHR-2026-73654,Research on Autonomous Agents with Adaptive Feedback,Canadian Institutes of Health Research,Award,Artificial Intelligence,"artificial intelligence, cihr, generative AI, explainable AI, autonomous agents","Ph.D. holders, early-career researchers, and university research groups.",1684000.0,CAD,2027-04-26,48 months,CA,"This program supports research on research into autonomous agents with adaptive feedback. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Canadian Institutes of Health Research (CIHR) aims to foster innovation in the field of Artificial Intelligence.",https://www.cihr.gov/funding/grants/ca-cihr-2026-73654,OPEN,2026-01-22
JP-JSPS-2026-13534,Novel Approaches to Ethics for Global Scale Applications,Japan Society for the Promotion of Science,Contract,Artificial Intelligence,"artificial intelligence, jsps, explainable AI, autonomous agents, generative AI","Academic institutions, non-profit research organizations, and small businesses.",1366000.0,JPY,2026-05-27,48 months,JP,"This program supports novel approaches to research into ethics for global scale applications. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Japan Society for the Promotion of Science (JSPS) aims to foster innovation in the field of Artificial Intelligence.",https://www.jsps.gov/funding/grants/jp-jsps-2026-13534,CLOSED,2026-01-24
CA-CIHR-2026-52906,Development of Autonomous Agents with Adaptive Feedback,Canadian Institutes of Health Research,Cooperative Agreement,Artificial Intelligence,"artificial intelligence, cihr, neural networks, autonomous agents, generative AI","Academic institutions, non-profit research organizations, and small businesses.",1851000.0,CAD,2027-06-07,48 months,CA,"This program supports development of research into autonomous agents with adaptive feedback. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The Canadian Institutes of Health Research (CIHR) aims to foster innovation in the field of Artificial Intelligence.",https://www.cihr.gov/funding/grants/ca-cihr-2026-52906,OPEN,2026-04-17
US-NSF-2026-80702,Research on Neural Networks to Improve Social Well-being,National Science Foundation,Fellowship,Artificial Intelligence,"artificial intelligence, nsf, explainable AI, generative AI, deep learning",Open to all international organizations and researchers.,1594000.0,USD,2026-06-18,12 months,US,"This program supports research on research into neural networks to improve social well-being. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The National Science Foundation (NSF) aims to foster innovation in the field of Artificial Intelligence.",https://www.nsf.gov/funding/grants/us-nsf-2026-80702,CLOSED,2026-01-27
EU-ERC-2026-26544,Strategic Innovation in Generative Ai using High-Performance Computing,European Research Council,Contract,Artificial Intelligence,"artificial intelligence, erc, neural networks, explainable AI, deep learning","Ph.D. holders, early-career researchers, and university research groups.",1002000.0,EUR,2026-09-02,36 months,EU,"This program supports strategic innovation in research into generative AI using high-performance computing. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The European Research Council (ERC) aims to foster innovation in the field of Artificial Intelligence.",https://www.erc.gov/funding/grants/eu-erc-2026-26544,OPEN,2026-02-18
US-NIH-2026-85849,Research on Neural Networks for Global Scale Applications,National Institutes of Health,Contract,Artificial Intelligence,"artificial intelligence, nih, deep learning, ethics, explainable AI","Academic institutions, non-profit research organizations, and small businesses.",862000.0,USD,2026-11-22,24 months,US,"This program supports research on research into neural networks for global scale applications. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The National Institutes of Health (NIH) aims to foster innovation in the field of Artificial Intelligence.",https://www.nih.gov/funding/grants/us-nih-2026-85849,OPEN,2026-01-20
US-NIH-2026-84177,Research on Neural Networks in High-Risk Environments,National Institutes of Health,Cooperative Agreement,Artificial Intelligence,"artificial intelligence, nih, ethics, neural networks, deep learning","Individual researchers, scientists, and postdoctoral fellows.",808000.0,USD,2027-04-17,12 months,US,"This program supports research on research into neural networks in high-risk environments. Applicants should submit proposals that outline technical specifications, project timelines, and impact metrics. The National Institutes of Health (NIH) aims to foster innovation in the field of Artificial Intelligence.",https://www.nih.gov/funding/grants/us-nih-2026-84177,OPEN,2026-03-25
