title,publication_year,doi,type,cited_by_count
Fitting Linear Mixed-Effects Models Using <b>lme4</b>,2015,https://doi.org/10.18637/jss.v067.i01,article,86020
The theory of planned behavior,1991,https://doi.org/10.1016/0749-5978(91)90020-t,article,85109
Statistical Power Analysis for the Behavioral Sciences,1989,https://doi.org/10.2307/1270020,article,83881
From ultrasoft pseudopotentials to the projector augmented-wave method,1999,https://doi.org/10.1103/physrevb.59.1758,article,83850
Preferred reporting items for systematic reviews and meta-analyses: the PRISMA statement,2009,https://doi.org/10.1136/bmj.b2535,article,83340
Deep learning,2015,https://doi.org/10.1038/nature14539,review,81967
A Mathematical Theory of Communication,1948,https://doi.org/10.1002/j.1538-7305.1948.tb01338.x,article,80871
The Measurement of Observer Agreement for Categorical Data,1977,https://doi.org/10.2307/2529310,article,79264
Using multivariate statistics,1983,,book,77497
Common method biases in behavioral research: A critical review of the literature and recommended remedies.,2003,https://doi.org/10.1037/0021-9010.88.5.879,review,77053
ImageNet classification with deep convolutional neural networks,2017,https://doi.org/10.1145/3065386,article,75710
Case Study Research: Design and Methods,1984,,book,74973
Efficiency of ab-initio total energy calculations for metals and semiconductors using a plane-wave basis set,1996,https://doi.org/10.1016/0927-0256(96)00008-0,article,74875
Gapped BLAST and PSI-BLAST: a new generation of protein database search programs,1997,https://doi.org/10.1093/nar/25.17.3389,review,74560
Standard methods: For the examination of water and waste water,1990,https://doi.org/10.1016/0003-2697(90)90598-4,article,72472
"The moderator-mediator variable distinction in social psychological research: Conceptual, strategic, and statistical considerations.",1986,https://doi.org/10.1037//0022-3514.51.6.1173,article,72161
Fiji: an open-source platform for biological-image analysis,2012,https://doi.org/10.1038/nmeth.2019,article,71131
"Theory of the firm: Managerial behavior, agency costs and ownership structure",1976,https://doi.org/10.1016/0304-405x(76)90026-x,article,70820
"The moderator–mediator variable distinction in social psychological research: Conceptual, strategic, and statistical considerations.",1986,https://doi.org/10.1037/0022-3514.51.6.1173,article,70783
Special points for Brillouin-zone integrations,1976,https://doi.org/10.1103/physrevb.13.5188,article,70498
Trimmomatic: a flexible trimmer for Illumina sequence data,2014,https://doi.org/10.1093/bioinformatics/btu170,article,69993
DNA sequencing with chain-terminating inhibitors,1977,https://doi.org/10.1073/pnas.74.12.5463,article,69312
Evaluating Structural Equation Models with Unobservable Variables and Measurement Error,1981,https://doi.org/10.1177/002224378101800104,article,68299
The Sequence Alignment/Map format and SAMtools,2009,https://doi.org/10.1093/bioinformatics/btp352,article,67698
A Revised Medium for Rapid Growth and Bio Assays with Tobacco Tissue Cultures,1962,https://doi.org/10.1111/j.1399-3054.1962.tb08052.x,article,67631
VMD: Visual molecular dynamics,1996,https://doi.org/10.1016/0263-7855(96)00018-5,article,66802
Hallmarks of Cancer: The Next Generation,2011,https://doi.org/10.1016/j.cell.2011.02.013,review,66619
Mutation of the mouse klotho gene leads to a syndrome resembling ageing.,1997,https://doi.org/10.1038/36285,article,66559
Fuzzy sets,1965,https://doi.org/10.1016/s0019-9958(65)90241-x,article,66274
Electric Field Effect in Atomically Thin Carbon Films,2004,https://doi.org/10.1126/science.1102896,article,66224
Statistical power analysis for the behavioral sciences,1990,https://doi.org/10.1016/0198-9715(90)90050-4,article,65680
NIH Image to ImageJ: 25 years of image analysis,2012,https://doi.org/10.1038/nmeth.2089,article,65369
"CLUSTAL W: improving the sensitivity of progressive multiple sequence alignment through sequence weighting, position-specific gap penalties and weight matrix choice",1994,https://doi.org/10.1093/nar/22.22.4673,article,64986
A SIMPLE METHOD FOR THE ISOLATION AND PURIFICATION OF TOTAL LIPIDES FROM ANIMAL TISSUES,1957,https://doi.org/10.1016/s0021-9258(18)64849-5,article,64985
Revised effective ionic radii and systematic studies of interatomic distances in halides and chalcogenides,1976,https://doi.org/10.1107/s0567739476001551,article,64964
"Perceived Usefulness, Perceived Ease of Use, and User Acceptance of Information Technology",1989,https://doi.org/10.2307/249008,article,64868
"G*Power 3: A flexible statistical power analysis program for the social, behavioral, and biomedical sciences",2007,https://doi.org/10.3758/bf03193146,article,64377
Preferred Reporting Items for Systematic Reviews and Meta-Analyses: The PRISMA Statement,2009,https://doi.org/10.1371/journal.pmed.1000097,article,64249
Self-Consistent Equations Including Exchange and Correlation Effects,1965,https://doi.org/10.1103/physrev.140.a1133,article,63306
Single-Step Method of RNA Isolation by Acid Guanidinium Thiocyanate–Phenol–Chloroform Extraction,1987,https://doi.org/10.1006/abio.1987.9999,article,63266
Measuring inconsistency in meta-analyses,2003,https://doi.org/10.1136/bmj.327.7414.557,review,62931
Fast and accurate short read alignment with Burrows–Wheeler transform,2009,https://doi.org/10.1093/bioinformatics/btp324,article,62919
ImageNet: A large-scale hierarchical image database,2009,https://doi.org/10.1109/cvpr.2009.5206848,article,61914
Fast gapped-read alignment with Bowtie 2,2012,https://doi.org/10.1038/nmeth.1923,article,61295
Evaluating Structural Equation Models with Unobservable Variables and Measurement Error,1981,https://doi.org/10.2307/3151312,article,60842
The neighbor-joining method: a new method for reconstructing phylogenetic trees.,1987,https://doi.org/10.1093/oxfordjournals.molbev.a040454,article,60497
Official Methods of Analysis of,1980,https://doi.org/10.1021/ac50052a726,article,59552
Gradient-based learning applied to document recognition,1998,https://doi.org/10.1109/5.726791,article,58359
CRC Handbook of Chemistry and Physics,2014,https://doi.org/10.1201/b17118,book,57886
A consistent and accurate<i>ab initio</i>parametrization of density functional dispersion correction (DFT-D) for the 94 elements H-Pu,2010,https://doi.org/10.1063/1.3382344,article,57157
Gene set enrichment analysis: A knowledge-based approach for interpreting genome-wide expression profiles,2005,https://doi.org/10.1073/pnas.0506580102,article,56802
"Bias in meta-analysis detected by a simple, graphical test",1997,https://doi.org/10.1136/bmj.315.7109.629,article,56510
STAR: ultrafast universal RNA-seq aligner,2012,https://doi.org/10.1093/bioinformatics/bts635,article,56441
Image quality assessment: from error visibility to structural similarity,2004,https://doi.org/10.1109/tip.2003.819861,article,56182
Rapid colorimetric assay for cellular growth and survival: Application to proliferation and cytotoxicity assays,1983,https://doi.org/10.1016/0022-1759(83)90303-4,article,55684
Distinctive Image Features from Scale-Invariant Keypoints,2004,https://doi.org/10.1023/b:visi.0000029664.99615.94,article,55312
Global cancer statistics,2011,https://doi.org/10.3322/caac.20107,article,55050
Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,2016,https://doi.org/10.1109/tpami.2016.2577031,article,54298
Mind in Society: The Development of Higher Psychological Processes,1978,,book,53877
Electrophoretic transfer of proteins from polyacrylamide gels to nitrocellulose sheets: procedure and some applications.,1979,https://doi.org/10.1073/pnas.76.9.4350,article,53848
Density-functional exchange-energy approximation with correct asymptotic behavior,1988,https://doi.org/10.1103/physreva.38.3098,article,53573
The CES-D Scale,1977,https://doi.org/10.1177/014662167700100306,article,53403
The Rat Brain in Stereotaxic Coordinates,1982,https://doi.org/10.1016/c2009-0-63235-9,book,52259
Regression Shrinkage and Selection Via the Lasso,1996,https://doi.org/10.1111/j.2517-6161.1996.tb02080.x,article,51925
Research electronic data capture (REDCap)—A metadata-driven methodology and workflow process for providing translational research informatics support,2008,https://doi.org/10.1016/j.jbi.2008.08.010,article,51906
"Clinical features of patients infected with 2019 novel coronavirus in Wuhan, China",2020,https://doi.org/10.1016/s0140-6736(20)30183-5,article,51839
Colorimetric Method for Determination of Sugars and Related Substances,1956,https://doi.org/10.1021/ac60111a017,article,51833
A new look at the statistical model identification,1974,https://doi.org/10.1109/tac.1974.1100705,article,50830
A new method of classifying prognostic comorbidity in longitudinal studies: Development and validation,1987,https://doi.org/10.1016/0021-9681(87)90171-8,article,50017
Maximum Likelihood from Incomplete Data Via the <i>EM</i> Algorithm,1977,https://doi.org/10.1111/j.2517-6161.1977.tb01600.x,article,49691
"Genetic algorithms in search, optimization, and machine learning",1989,https://doi.org/10.5860/choice.27-0936,article,49341
XGBoost,2016,https://doi.org/10.1145/2939672.2939785,article,49005
