search URL:,https://patents.google.com/?q=%28Artificial+Intelligence%29&oq=Artificial+Intelligence,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
US-5708825-A,Automatic summary page creation and hyperlink generation ,Iconovex Corporation,Bernardo Rafael Sotomayor,1995-05-26,1995-05-26,1998-01-13,1998-01-13,https://patents.google.com/patent/US5708825A/en,https://patentimages.storage.googleapis.com/98/3f/4e/7e3d179cb0b22d/US5708825-drawings-page-2.png
US-6161130-A,"Technique which utilizes a probabilistic classifier to detect ""junk"" e-mail by automatically updating a training and re-training the classifier based on the updated training set ",Microsoft Corporation,"Eric Horvitz, David E. Heckerman, Susan T. Dumais, Mehran Sahami, John C. Platt",1998-06-23,1998-06-23,2000-12-12,2000-12-12,https://patents.google.com/patent/US6161130A/en,https://patentimages.storage.googleapis.com/2c/d2/bd/95b3854c210c3e/US6161130-drawings-page-3.png
US-6658276-B2,Pulse oximeter user interface ,Masimo Corporation,"Massi E. Kianl, Ammar Al-Ali, Don Carothers, Michael Lee, James Pishney, Walter M. Weber",1999-01-25,2002-02-12,2003-12-02,2003-12-02,https://patents.google.com/patent/US6658276B2/en,https://patentimages.storage.googleapis.com/08/56/65/fe915afa14fb62/US06658276-20031202-D00000.png
US-5919134-A,Method and apparatus for demodulating signals in a pulse oximetry system ,Masimo Corp.,Mohamed K. Diab,1997-04-14,1998-01-12,1999-07-06,1999-07-06,https://patents.google.com/patent/US5919134A/en,https://patentimages.storage.googleapis.com/1c/e4/66/24ff3c81712947/US5919134-drawings-page-2.png
US-4916441-A,Portable handheld terminal ,Clinicom Incorporated,Peter P. Gombrich,1988-09-19,1988-09-19,1990-04-10,1990-04-10,https://patents.google.com/patent/US4916441A/en,https://patentimages.storage.googleapis.com/06/e1/ef/844aff64baaa7b/US4916441-drawings-page-4.png
US-8209308-B2,Method for presentation of revisions of an electronic document ,"Rueben Steven L, Gabriel Jakobson","Steven L. Rueben, Gabriel Jakobson",2006-05-01,2006-05-01,2012-06-26,2012-06-26,https://patents.google.com/patent/US8209308B2/en,https://patentimages.storage.googleapis.com/2a/72/99/dc348a350b6417/US08209308-20120626-D00000.png
US-2005060643-A1,Document similarity detection and classification system ,"Miavia, Inc.","Jeffrey Glass, Elizabeth Derr",2003-08-25,2004-08-12,2005-03-17,,https://patents.google.com/patent/US20050060643A1/en,https://patentimages.storage.googleapis.com/75/97/75/122850450b16bc/US20050060643A1-20050317-D00000.png
US-6405132-B1,Accident avoidance system ,"Intelligent Technologies International, Inc.","David S. Breed, Wendell C. Johnson, Wilbur E. DuVall",1997-10-22,2000-10-04,2002-06-11,2002-06-11,https://patents.google.com/patent/US6405132B1/en,https://patentimages.storage.googleapis.com/2d/02/2d/9339d8c9b41a51/US06405132-20020611-D00000.png
US-8566301-B2,Document revisions in a collaborative computing environment ,"Steven L. Rueben, Gabriel Jakobson","Steven L. Rueben, Gabriel Jakobson",2006-05-01,2010-08-17,2013-10-22,2013-10-22,https://patents.google.com/patent/US8566301B2/en,https://patentimages.storage.googleapis.com/b9/a1/a6/c35fb5833f3cd1/US08566301-20131022-D00000.png
US-5285381-A,Multiple control-point control system and method of use ,Vanderbilt University,"Moenes Iskarous, Kazuhiko Kawamura",1992-09-09,1992-09-09,1994-02-08,1994-02-08,https://patents.google.com/patent/US5285381A/en,https://patentimages.storage.googleapis.com/0c/d3/80/6680b4f98d3d43/US5285381-drawings-page-2.png
US-4835372-A,Patient care system ,Clincom Incorporated,"Peter P. Gombrich, Richard J. Beard, Richard A. Griffee, Thomas R. Wilson, Ronald E. Zook, Max S. Hendrickson",1985-07-19,1987-07-24,1989-05-30,1989-05-30,https://patents.google.com/patent/US4835372A/en,https://patentimages.storage.googleapis.com/0b/74/77/ca0da82d3e5994/US4835372-drawings-page-3.png
US-6720734-B2,Oximeter with nulled op-amp current feedback ,"Datex-Ohmeda, Inc.",Mark A. Norris,2002-08-08,2002-08-08,2004-04-13,2004-04-13,https://patents.google.com/patent/US6720734B2/en,https://patentimages.storage.googleapis.com/be/66/59/9b8debae4da431/US06720734-20040413-D00000.png
US-5357276-A,Method of providing video on demand with VCR like functions ,"Scientific-Atlanta, Inc.","Robert O. Banker, Jeffrey B. Huppertz, Michael T. Hayashi, David B. Lett, Voytek E. Godlewski, Michael W. Raley",1992-12-01,1992-12-01,1994-10-18,1994-10-18,https://patents.google.com/patent/US5357276A/en,https://patentimages.storage.googleapis.com/90/30/1e/81c676906e311f/US5357276-drawings-page-2.png
US-5971922-A,System and method for predicting blood glucose level ,"Meidensha Electric Mfg Co Ltd, Seizaburou Arita, Masaya Yoneda","Seizaburou Arita, Masaya Yoneda, Tadashi Iokibe",1998-04-07,1998-10-16,1999-10-26,1999-10-26,https://patents.google.com/patent/US5971922A/en,https://patentimages.storage.googleapis.com/19/28/b5/33cd800f24f3da/US5971922-drawings-page-2.png
US-6006221-A,Multilingual document retrieval system and method using semantic vector matching ,Syracuse University,"Elizabeth D. Liddy, Woojin Paik, Edmund S. Yu, Ming Li",1995-08-16,1996-08-14,1999-12-21,1999-12-21,https://patents.google.com/patent/US6006221A/en,https://patentimages.storage.googleapis.com/51/4d/94/e8b7a02356f7a3/US6006221-drawings-page-3.png
US-6144848-A,Handheld remote computer control and methods for secured interactive real-time telecommunications ,Weiss Jensen Ellis & Howard,"Joseph F. Walsh, David H. Boydston",1995-06-07,1996-06-07,2000-11-07,2000-11-07,https://patents.google.com/patent/US6144848A/en,https://patentimages.storage.googleapis.com/29/f1/74/be0e4ad7108048/US6144848-drawings-page-2.png
US-2003051026-A1,Network surveillance and security system ,"Carter Ernst B., Vasily Zolotov","Ernst Carter, Vasily Zolotov",2001-01-19,2001-01-19,2003-03-13,,https://patents.google.com/patent/US20030051026A1/en,https://patentimages.storage.googleapis.com/e2/ac/35/809769f1e7ebe4/US20030051026A1-20030313-D00000.png
US-5963940-A,Natural language information retrieval system and method ,Syracuse University,"Elizabeth D. Liddy, Woojin Paik, Mary E. McKenna, Ming Li",1995-08-16,1996-08-14,1999-10-05,1999-10-05,https://patents.google.com/patent/US5963940A/en,https://patentimages.storage.googleapis.com/c2/d0/c3/7890fdc0bfe686/US5963940-drawings-page-3.png
US-6078914-A,Natural language meta-search system and method ,Open Text Corporation,Darren M. Redfern,1996-12-09,1996-12-09,2000-06-20,2000-06-20,https://patents.google.com/patent/US6078914A/en,https://patentimages.storage.googleapis.com/6c/6f/57/ebed9711d7991d/US6078914-drawings-page-2.png
US-2005192727-A1,Sensor Assemblies ,Automotive Technologies International Inc.,"Oleksandr Shostak, Anatoliy Kolomeyko, David Breed, Wilbur DuVall, Wendell Johnson",1994-05-09,2005-05-02,2005-09-01,,https://patents.google.com/patent/US20050192727A1/en,https://patentimages.storage.googleapis.com/a0/68/32/fa8c1dfe21881a/US20050192727A1-20050901-D00000.png
US-5701400-A,Method and apparatus for applying if-then-else rules to data sets in a relational data base and generating from the results of application of said rules a database of diagnostics linked to said data sets to aid executive analysis of financial data ,Amado; Carlos Armando,Carlos Armando Amado,1995-03-08,1995-03-08,1997-12-23,1997-12-23,https://patents.google.com/patent/US5701400A/en,https://patentimages.storage.googleapis.com/d8/ca/03/45f01edf73bfc7/US5701400-drawings-page-2.png
US-5794050-A,Natural language understanding system ,"Intelligent Text Processing, Inc.","Kathleen Dahlgren, Edward Stabler",1995-01-04,1997-10-02,1998-08-11,1998-08-11,https://patents.google.com/patent/US5794050A/en,https://patentimages.storage.googleapis.com/fd/27/f7/4ad8739d0e0e0a/US5794050-drawings-page-2.png
US-5764789-A,Tokenless biometric ATM access system ,"Smarttouch, Llc","David Ferrin Pare, Jr., Ned Hoffman, Jonathan Alexander Lee",1994-11-28,1996-09-27,1998-06-09,1998-06-09,https://patents.google.com/patent/US5764789A/en,https://patentimages.storage.googleapis.com/ac/3c/af/a2c74aabdbbce0/US5764789-drawings-page-3.png
US-6826419-B2,Signal processing apparatus and method ,Masimo Corporation,"Mohamed Kheir Diab, Esmaiel Kiani-Azarbayjany",1991-03-07,2002-12-20,2004-11-30,2004-11-30,https://patents.google.com/patent/US6826419B2/en,https://patentimages.storage.googleapis.com/6a/a1/ad/075cf6d05b8f1b/US06826419-20041130-D00000.png
US-5704029-A,System and method for completing an electronic form ,"Wright Strategies, Inc.","Gerald V. Wright, Jr.",1994-05-23,1994-05-23,1997-12-30,1997-12-30,https://patents.google.com/patent/US5704029A/en,https://patentimages.storage.googleapis.com/62/c8/83/667c48b82175b9/US5704029-drawings-page-2.png
US-5870723-A,Tokenless biometric transaction authorization method and system ,"Pare, Jr.; David Ferrin, Hoffman; Ned, Lee; Jonathan Alexander","David Ferrin Pare, Jr., Ned Hoffman, Jonathan Alexander Lee",1994-11-28,1996-08-29,1999-02-09,1999-02-09,https://patents.google.com/patent/US5870723A/en,https://patentimages.storage.googleapis.com/32/c7/63/84548e5da4ef04/US5870723-drawings-page-2.png
US-7289835-B2,Multivariate analysis of green to ultraviolet spectra of cell and tissue samples ,"Masimo Laboratories, Inc.","James Mansfield, Jenny Freeman",2000-02-18,2005-06-02,2007-10-30,2007-10-30,https://patents.google.com/patent/US7289835B2/en,https://patentimages.storage.googleapis.com/pages/US7289835-0.png
US-5726984-A,Hierarchical data collection network supporting packetized voice communications among wireless terminals and telephones ,Norand Corporation,"Joseph J. Kubler, Michael D. Morris",1989-01-31,1995-10-05,1998-03-10,1998-03-10,https://patents.google.com/patent/US5726984A/en,https://patentimages.storage.googleapis.com/f0/51/f6/b4bdb40f750bad/US5726984-drawings-page-2.png
US-5756981-A,Optical scanner for reading and decoding one- and-two-dimensional symbologies at variable depths of field including memory efficient high speed image processing means and high accuracy image analysis means ,"Symbol Technologies, Inc.","Alexander R. Roustaei, Roland L. Lawrence, Ali Lebaschi, Long-Xiang Bian, Donald Fisher",1992-02-27,1996-08-01,1998-05-26,1998-05-26,https://patents.google.com/patent/US5756981A/en,https://patentimages.storage.googleapis.com/6d/d0/b8/12da495b0c4c71/US5756981-drawings-page-3.png
US-5791347-A,Motion insensitive pulse detector ,"Vital Insite, Inc.","Bryan P. Flaherty, Mark H. Sher, Richard G. Caro",1994-04-15,1996-08-14,1998-08-11,1998-08-11,https://patents.google.com/patent/US5791347A/en,https://patentimages.storage.googleapis.com/08/ad/d4/90154b6bed9a95/US5791347-drawings-page-2.png
US-2007219059-A1,Method and system for continuous monitoring and training of exercise ,"Schwartz Mark H, Le Yi Wang, Hong Wang","Mark H. Schwartz, Le Yi Wang, Hong Wang",2006-03-17,2007-03-19,2007-09-20,,https://patents.google.com/patent/US20070219059A1/en,https://patentimages.storage.googleapis.com/8b/1b/0c/b78a60105fa1a2/US20070219059A1-20070920-D00000.png
US-5903723-A,Method and apparatus for transmitting electronic mail attachments with attachment references ,Intel Corporation,"Robert D. Beck, John Richardson",1995-12-21,1995-12-21,1999-05-11,1999-05-11,https://patents.google.com/patent/US5903723A/en,https://patentimages.storage.googleapis.com/b5/fd/c2/eea9d9cf95271a/US5903723-drawings-page-2.png
US-7467003-B2,Dual electrode system for a continuous analyte sensor ,"Dexcom, Inc.","Mark Brister, James R. Petisce, Peter Simpson",2003-12-05,2006-10-04,2008-12-16,2008-12-16,https://patents.google.com/patent/US7467003B2/en,https://patentimages.storage.googleapis.com/cc/c0/5e/c93027bacfe325/US07467003-20081216-D00000.png
US-6832725-B2,Optical reader comprising multiple color illumination ,"Hand Held Products, Inc.","Robert C. Gardiner, Charles P. Barber, Eric Coleman, Michael Ehrhart, Colleen P. Gannon, Robert J. Hennick, William H. Havens, Vivian L. Hunter, Melvin D. McCall, Thomas Ruhlman",1999-10-04,2002-03-07,2004-12-21,2004-12-21,https://patents.google.com/patent/US6832725B2/en,https://patentimages.storage.googleapis.com/8f/c8/81/54d000baca7836/US06832725-20041221-D00000.png
US-7263397-B2,Method and apparatus for catheter navigation and location and mapping in the heart ,"St. Jude Medical, Atrial Fibrillation Division, Inc.","John A. Hauck, Jeff A. Schweitzer, Michael Craven, Valtino Afonso, Holly Cotner, Frank Callaghan, John Schultz",1998-06-30,2004-04-06,2007-08-28,2007-08-28,https://patents.google.com/patent/US7263397B2/en,https://patentimages.storage.googleapis.com/03/ea/15/4d8b0b5d4398b8/US07263397-20070828-D00000.png
US-6317627-B1,Anesthesia monitoring system based on electroencephalographic signals ,"Physiometrix, Inc.","David W. Ennen, Jorge R. Jimenez, Dominic P. Marro",1999-11-02,1999-11-02,2001-11-13,2001-11-13,https://patents.google.com/patent/US6317627B1/en,https://patentimages.storage.googleapis.com/2b/6e/30/e7ae0272d71333/US6317627-drawings-page-2.png
US-5860073-A,Style sheets for publishing system ,Microsoft Corporation,"Patrick J. Ferrel, Matthew W. Gertz, Robert F. Meyer, Stephen J. Millet, Kevin M. Schofield, John P. Shewchuk, Walter W. Smith",1995-07-17,1995-07-17,1999-01-12,1999-01-12,https://patents.google.com/patent/US5860073A/en,https://patentimages.storage.googleapis.com/c4/14/64/cc798a242ffb1a/US5860073-drawings-page-2.png
US-4857716-A,Patient identification and verification system and method ,Clinicom Incorporated,"Peter P. Gombrich, Ronald E. Zook, Max S. Hendrickson",1986-05-12,1988-06-08,1989-08-15,1989-08-15,https://patents.google.com/patent/US4857716A/en,https://patentimages.storage.googleapis.com/7b/ac/c2/489615f2441736/US4857716-drawings-page-3.png
US-6081774-A,Natural language information retrieval system and method ,"Novell, Inc.","Carolina Rubio de Hita, David van den Akker, Erik C. E. Govaers, Frank M. J. Platteau, Kurt Van Deun, Melissa Macpherson, Peter de Bie, Sophie Laviolette",1997-08-22,1997-08-22,2000-06-27,2000-06-27,https://patents.google.com/patent/US6081774A/en,https://patentimages.storage.googleapis.com/f8/92/4f/409b7802662ec2/US6081774-drawings-page-2.png
US-6560620-B1,Hierarchical document comparison system and method ,"Aplix Research, Inc.",Philip Waisin Ching,1999-08-03,1999-08-03,2003-05-06,2003-05-06,https://patents.google.com/patent/US6560620B1/en,https://patentimages.storage.googleapis.com/f1/5d/39/809873f3e7f527/US6560620-drawings-page-2.png
US-7376453-B1,Signal processing apparatus ,Masimo Corporation,"Mohamed K. Diab, Esmaiel Kiani-Azarbayjany, Ibrahim M. Elfadel, Rex J. McCarthy, Walter M. Weber, Robert A. Smith",1993-10-06,1998-09-01,2008-05-20,2008-05-20,https://patents.google.com/patent/US7376453B1/en,https://patentimages.storage.googleapis.com/2f/19/1c/155c885914d145/US7376453-drawings-page-6.png
US-5696962-A,Method for computerized information retrieval using shallow linguistic analysis ,Xerox Corporation,Julian M. Kupiec,1993-06-24,1996-05-08,1997-12-09,1997-12-09,https://patents.google.com/patent/US5696962A/en,https://patentimages.storage.googleapis.com/55/1a/a5/e34c634a9e1cd8/US5696962-drawings-page-3.png
US-6280381-B1,Intelligent system for noninvasive blood analyte prediction ,"Instrumentation Metrics, Inc.","Stephen F. Malin, Timothy L. Ruchti",1999-07-22,1999-07-22,2001-08-28,2001-08-28,https://patents.google.com/patent/US6280381B1/en,https://patentimages.storage.googleapis.com/ce/62/a8/74fc94ba446e6c/US6280381-drawings-page-3.png
US-6556983-B1,"Methods and apparatus for finding semantic information, such as usage logs, similar to a query using a pattern lattice data space ",Microsoft Corporation,"Steven Altschuler, David V. Ingerman, Lani Wu, Lei Zhao",2000-01-12,2000-01-12,2003-04-29,2003-04-29,https://patents.google.com/patent/US6556983B1/en,https://patentimages.storage.googleapis.com/32/8a/63/f7ab20c2ce3084/US06556983-20030429-D00000.png
US-2019339688-A1,"Methods and systems for data collection, learning, and streaming of machine signals for analytics and maintenance using the industrial internet of things ","Strong Force Iot Portfolio 2016, Llc","Charles Howard Cella, Gerald William Duffy, JR., Jeffrey P. McGuckin, Mehul Desai",2016-05-09,2019-03-29,2019-11-07,,https://patents.google.com/patent/US20190339688A1/en,https://patentimages.storage.googleapis.com/80/be/f0/e9639b6491c27e/US20190339688A1-20191107-D00001.png
US-5686902-A,Communication system for communicating with tags ,Texas Instruments Incorporated,"Robert Steven Reis, Vikram Verma, Domingo Antonio Mihovilovic, Peter Scott Bertrand, Richard Kenneth Stevens",1990-06-15,1996-04-23,1997-11-11,1997-11-11,https://patents.google.com/patent/US5686902A/en,https://patentimages.storage.googleapis.com/4b/fe/3f/f2b044649550cc/US5686902-drawings-page-2.png
US-4641274-A,Method for communicating changes made to text form a text processor to a remote host ,International Business Machines Corporation,Edgar W. Swank,1982-12-03,1985-08-19,1987-02-03,1987-02-03,https://patents.google.com/patent/US4641274A/en,https://patentimages.storage.googleapis.com/e9/73/27/5ee41f92cd878f/US4641274-drawings-page-2.png
US-6510329-B2,Detection of sensor off conditions in a pulse oximeter ,"Datex-Ohmeda, Inc.",Donald W. Heckel,2001-01-24,2001-01-24,2003-01-21,2003-01-21,https://patents.google.com/patent/US6510329B2/en,https://patentimages.storage.googleapis.com/61/6e/fb/bb58939b2323e5/US06510329-20030121-D00000.png
US-5799276-A,Knowledge-based speech recognition system and methods having frame length computed based upon estimated pitch period of vocalic intervals ,Accent Incorporated,"Edward Komissarchik, Vladimir Arlazarov, Dimitri Bogdanov, Yuri Finkelstein, Andrey Ivanov, Jacob Kaminsky, Julia Komissarchik, Olga Krivnova, Mikhail Kronrod, Mikhail Malkovsky, Maxim Paklin, Alexander Rozanov, Vladimir Segal, Nina Zinovieva",1995-11-07,1995-11-07,1998-08-25,1998-08-25,https://patents.google.com/patent/US5799276A/en,https://patentimages.storage.googleapis.com/08/35/80/6ea1d541e85e5f/US5799276-drawings-page-3.png
US-5347295-A,Control of a computer through a position-sensed stylus ,Go Corporation,"Todd Agulnick, Robert Carr, Tony Hoeber, S. Jerrold Kaplan, David R. Low, Michael Ouye",1990-10-31,1990-10-31,1994-09-13,1994-09-13,https://patents.google.com/patent/US5347295A/en,https://patentimages.storage.googleapis.com/54/64/31/3b30c5ee63c297/US5347295-drawings-page-2.png
US-5760773-A,Methods and apparatus for interacting with data objects using action handles ,Microsoft Corporation,"Eric Robert Berman, Edward Low Mills, Michael Hinkley Van Kleeck, Vinayak A. Bhalerao",1995-01-06,1995-01-06,1998-06-02,1998-06-02,https://patents.google.com/patent/US5760773A/en,https://patentimages.storage.googleapis.com/f7/09/5c/e7bd383e33d3fc/US5760773-drawings-page-2.png
US-5386556-A,Natural language analyzing apparatus and method ,International Business Machines Corporation,"Erik B. Hedin, Gregor I. Jonsson, Lars E. Olsson, Mohammad A. Sanamrad, Sven O. G. Westling",1989-03-06,1992-12-23,1995-01-31,1995-01-31,https://patents.google.com/patent/US5386556A/en,https://patentimages.storage.googleapis.com/59/d5/0f/6abc8a35fb7cd0/US5386556-drawings-page-2.png
US-5295491-A,Non-invasive human neurocognitive performance capability testing method and system ,"Sam Technology, Inc.",Alan S. Gevins,1991-09-26,1991-09-26,1994-03-22,1994-03-22,https://patents.google.com/patent/US5295491A/en,https://patentimages.storage.googleapis.com/2a/6f/8f/35134348d19f64/US5295491-drawings-page-2.png
US-4688026-A,Method of collecting and using data associated with tagged objects ,"Scribner James R, Brown Thomas G, Caracciolo Jr Anthony","James R. Scribner, Thomas G. Brown, Anthony Caracciolo, Jr.",1984-05-15,1986-04-21,1987-08-18,1987-08-18,https://patents.google.com/patent/US4688026A/en,https://patentimages.storage.googleapis.com/32/9a/17/73c84c4e22aaac/US4688026-drawings-page-2.png
US-6615172-B1,Intelligent query engine for processing voice based queries ,"Phoenix Solutions, Inc.","Ian M. Bennett, Bandi Ramesh Babu, Kishor Morkhandikar, Pallaki Gururaj",1999-11-12,1999-11-12,2003-09-02,2003-09-02,https://patents.google.com/patent/US6615172B1/en,https://patentimages.storage.googleapis.com/90/40/cc/c6ee2d1b06503e/US6615172-drawings-page-3.png
US-5748737-A,Multimedia electronic wallet with generic card ,Daggar; Robert N.,Robert N. Daggar,1994-11-14,1994-11-14,1998-05-05,1998-05-05,https://patents.google.com/patent/US5748737A/en,https://patentimages.storage.googleapis.com/cb/ad/53/95bbf0ec4f08ec/US5748737-drawings-page-3.png
US-4775935-A,Video merchandising system with variable and adoptive product sequence presentation order ,Westinghouse Electric Corp.,Denise A. Yourick,1986-09-22,1986-09-22,1988-10-04,1988-10-04,https://patents.google.com/patent/US4775935A/en,https://patentimages.storage.googleapis.com/a5/95/50/0b46fd18567180/US4775935-drawings-page-2.png
US-4075632-A,"Interrogation, and detection system ",The United States Of America As Represented By The United States Department Of Energy,"Howard A. Baldwin, Steven W. Depp, Alfred R. Koelle, Robert W. Freyman",1974-08-27,1976-05-24,1978-02-21,1978-02-21,https://patents.google.com/patent/US4075632A/en,https://patentimages.storage.googleapis.com/f7/4e/89/ef0f8d7c31b6e2/US4075632-drawings-page-2.png
US-7775885-B2,Event-driven alteration of avatars ,"Leviathan Entertainment, Llc","Andrew S. Van Luchene, Raymond J. Mueller",2005-10-14,2007-03-30,2010-08-17,2010-08-17,https://patents.google.com/patent/US7775885B2/en,https://patentimages.storage.googleapis.com/96/f6/c9/7737a558461000/US07775885-20100817-D00000.png
US-5748783-A,Method and apparatus for robust information coding ,Digimarc Corporation,Geoffrey B. Rhoads,1995-05-08,1995-05-08,1998-05-05,1998-05-05,https://patents.google.com/patent/US5748783A/en,https://patentimages.storage.googleapis.com/6c/14/58/d8ee56eae2f03e/US5748783-drawings-page-5.png
US-8289403-B2,Image processing system ,"Kabushiki Kaisha Toshiba, Toshiba Solutions Corporation","Toshimasa Dobashi, Hiroyuki Mizutani, Naoaki Kodaira, Tomohisa Suzuki",2009-03-13,2010-03-12,2012-10-16,2012-10-16,https://patents.google.com/patent/US8289403B2/en,https://patentimages.storage.googleapis.com/78/17/84/dc49976acb6601/US08289403-20121016-D00000.png
US-5873056-A,Natural language processing system for semantic vector representation which accounts for lexical ambiguity ,The Syracuse University,"Elizabeth D. Liddy, Woojin Paik, Edmund Szu-li Yu",1993-10-12,1993-10-12,1999-02-16,1999-02-16,https://patents.google.com/patent/US5873056A/en,https://patentimages.storage.googleapis.com/c3/70/35/7bae9010d6488a/US5873056-drawings-page-3.png
US-5640577-A,Data processing system with automated at least partial forms completion ,Davox Corporation,Andrew J. Scharmer,1991-12-30,1995-08-22,1997-06-17,1997-06-17,https://patents.google.com/patent/US5640577A/en,https://patentimages.storage.googleapis.com/16/0d/9d/a494242eac98a4/US5640577-drawings-page-2.png
US-5301109-A,Computerized cross-language document retrieval using latent semantic indexing ,"Bell Communications Research, Inc.","Thomas K. Landauer, Michael L. Littman",1990-06-11,1991-07-17,1994-04-05,1994-04-05,https://patents.google.com/patent/US5301109A/en,https://patentimages.storage.googleapis.com/92/e0/c7/5250765d3a9732/US5301109-drawings-page-2.png
US-6812824-B1,Method and apparatus combining a tracking system and a wireless communication system ,"Rf Technologies, Inc.","James Goldinger, Colin Lanzl, Jay Werb",1996-10-17,2000-03-02,2004-11-02,2004-11-02,https://patents.google.com/patent/US6812824B1/en,https://patentimages.storage.googleapis.com/48/e2/28/ddbe19a98dd64e/US06812824-20041102-D00000.png
